标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
保利中韵 南北对流 采光通透 品牌居住小区大洋房,保利中央花园中韵 -鹤山市,4室2厅 | 214.42平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 8个月以前发布,214.8,"10,018元/平"
芳邻双拼别墅，四个套间，保养新净，花园190平方,碧桂园-芳邻2期 -鹤山市,4室1厅 | 210平米 | 东 西 | 精装 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,304,"14,477元/平"
峻庭湾电梯大四房，实用性高，采光足，对流户型通风,峻廷湾领峰 -鹤山市,4室2厅 | 152.12平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 塔楼,1人关注 / 一年前发布,97.8,"6,430元/平"
贝沙湾别墅枢纽新城采光好生活便利,贝沙湾 -经济开发,5室2厅 | 394.67平米 | 北 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,4人关注 / 一年前发布,498,"12,619元/平"
御景湾高层毛坯，电梯洋房，视野开阔,众域御景湾1期 -鹤山市,4室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,4人关注 / 一年前发布,97,"7,133元/平"
凯旋城市区电梯三房 装修精致 生活便利,凯旋城 -鹤山市,3室2厅 | 113.95平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 一年前发布,100,"8,776元/平"
160方市区4房，空间宽敞，光线充足，视野开阔、,乐民邨 -鹤山市,4室2厅 | 160平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,36人关注 / 一年前发布,39.8,"2,488元/平"
此房满五年新会唯一住房，税费低，保养新净，格局方正,珑城半山 -圭峰,5室2厅 | 157平米 | 东 | 毛坯 | 低楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,216.66,"13,800元/平"
旧城区地段 不靠路 小区管理 电梯洋房,雍翠华庭 -中心城区,4室2厅 | 130平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,250,"19,231元/平"
上城铂雍汇刚需4房，光线好，保利、方直旁,上城铂雍汇 -滨江新区,4室2厅 | 117平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,4人关注 / 一年前发布,146,"12,479元/平"
满五不唯一，电梯中楼层 ，采光通透 ， 户型方正,益源大厦 -江华港口,4室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,109,"8,379元/平"
骏景湾品峰 4室3厅 南,骏景湾品峰 -双龙,4室3厅 | 161平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,244.8,"15,205元/平"
房子满两年，格局方正，三个车位，楼层好，视野开阔,十里方圆―九章 -鹤山市,5室2厅 | 245平米 | 东南 | 毛坯 | 高楼层(共30层)  | 塔楼,9人关注 / 一年前发布,178,"7,266元/平"
美的公园天下中间楼层望全小区，飞机4房，,美的公园天下 -滨江新区,4室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,195,"14,445元/平"
范小 复式景观房 正常过户 对流通透,天英·月珑湾 -滨江新区,5室2厅 | 240平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 塔楼,5人关注 / 一年前发布,360,"15,000元/平"
满二年，精装，南北对流，不靠马路。,碧桂园滨江壹号 -滨江新区,4室2厅 | 146平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,235,"16,096元/平"
滨江新区，蒲葵之梦，大面积电梯三房,蒲葵之梦 -滨江新区,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,5人关注 / 一年前发布,189,"13,310元/平"
圣廷苑 复式 实用面积大 生活配套完善,圣廷苑 -白沙农林,5室3厅 | 235平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,285,"12,128元/平"
滨江新城核 心区，保利大都会。,保利·中宇花园 -滨江新区,4室2厅 | 143平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,205,"14,336元/平"
保利三房 高层无遮挡 户型通风 看房方便。,保利·中宇花园 -滨江新区,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,3人关注 / 一年前发布,119,"13,223元/平"
滨江新城核 心区，保利大都会。,保利·中宇花园 -滨江新区,4室2厅 | 143平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,205,"14,336元/平"
够五唯一，税费低，过户快，地段靓。,嘉悦名都 -鹤山市,4室2厅 | 145平米 | 南 | 精装 | 高楼层(共8层)  | 平房,1人关注 / 一年前发布,65,"4,483元/平"
十里方圆国风中空别墅 毛坯房 可以自己装修自己风格,十里方圆-国风 -鹤山市,5室2厅 | 243.65平米 | 东南 | 毛坯 | 低楼层(共26层)  | 塔楼,45人关注 / 一年前发布,172,"7,060元/平"
碧桂园花岸大四房保养好，南向通风采光好，带阁楼,花岸 -鹤山市,4室2厅 | 126.75平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,65,"5,129元/平"
南北对流 采光空气好 看小区绿化  实用,碧桂园城市之光（江门鹤山） -鹤山市,5室2厅 | 211平米 | 东南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 8个月以前发布,188,"8,910元/平"
中楼层双阳台户型，南北对流通风。,保利中央花园中韵 -鹤山市,4室2厅 | 124.84平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 10个月以前发布,125,"10,013元/平"
碧桂园水畔4房带3个大阳台近大润发生活方便拎包即住,碧桂园-水畔翠庭 -鹤山市,4室2厅 | 167平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,90,"5,390元/平"
花岸中间楼层，房产证满5税费低，业主诚心出售,花岸 -鹤山市,4室2厅 | 128平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,70,"5,469元/平"
峻廷湾御湖独栋别墅，中间位置靓，临湖,峻廷湾御湖 -鹤山市,6室3厅 | 457平米 | 东南 西北 | 毛坯 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 一年前发布,399,"8,731元/平"
越秀大面积四房，位置好，小区舒适，,越秀星汇名庭 -鹤山市,4室2厅 | 112平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,98,"8,750元/平"
南景华府 四房*实用户型 采光靓 装修好 户型方正,南景华府 -鹤山市,4室2厅 | 138平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,63.8,"4,624元/平"
松鹤国际新城，4+1房大户型。南向望泳池,松鹤国际新城 -鹤山市,4室2厅 | 168平米 | 东南 | 精装 | 高楼层(共14层)  | 塔楼,8人关注 / 一年前发布,126,"7,500元/平"
碧桂园鹤起香泉 中楼层大户型三房,碧桂园-鹤起香泉 -鹤山市,3室2厅 | 128平米 | 东北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,68,"5,313元/平"
圭峰花园  电梯洋房 封闭小区  近圭峰山空气清新,圭峰花园森林官邸 -圭峰,4室2厅 | 169平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,200,"11,835元/平"
共和碧桂园 户型格局方正 装修保养新净,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,84,"7,778元/平"
"海逸城邦,精装修南北双阳台户型,北新区成熟商圈,",海逸城邦 -北新区,3室2厅 | 110平米 | 东南 西北 | 精装 | 高楼层(共26层)  | 塔楼,6人关注 / 一年前发布,168,"15,273元/平"
天汇精装，全新未住过，环境好，户型方正，通风透光,碧桂园天汇 -鹤山市,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,99,"8,609元/平"
此房格局正规，生活方便。交通四通八达，,圭峰西路 -中心城区,4室2厅 | 105平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,66,"6,286元/平"
十里方圆全新装修未入住  位置好   采光充足 带车位,十里方圆―芳菲庭园 -鹤山市,5室2厅 | 218平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 9个月以前发布,155,"7,111元/平"
保利中韵大平层 4房2厅 户型靓 采光好 南北对流,保利中央花园中韵 -鹤山市,4室2厅 | 217平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,2人关注 / 9个月以前发布,212,"9,770元/平"
金汇城市广场 繁华地段 交通便利,金汇城市广场 -北新区,4室2厅 | 156平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,2人关注 / 一年前发布,168,"10,770元/平"
碧桂园翠湖畔  视野开阔 采光充足  业主诚心出售,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 121.54平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,86,"7,076元/平"
瑞峰华庭，精装复式，南北一字楼，678三层,瑞峰華庭东区 -中心城区,4室3厅 | 226平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,175,"7,744元/平"
此房为电梯中层，视野好，通风采光良好,金汇城市广场 -北新区,4室2厅 | 183平米 | 东北 | 精装 | 中楼层(共19层)  | 暂无数据,1人关注 / 一年前发布,194,"10,602元/平"
星河花园，笋盘，精装，拧包入住,星河花园 -双龙,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,75,"6,819元/平"
"凤山水岸，妇幼保健院,义乌小商城",凤山水岸2期誉城 -双龙,4室2厅 | 162.23平米 | 南 | 毛坯 | 中楼层(共29层)  | 平房,5人关注 / 一年前发布,180,"11,096元/平"
金汇城市广场复试顶楼 6房两厅 毛坯任你装修,金汇城市广场 -北新区,6室3厅 | 320平米 | 西北 | 毛坯 | 高楼层(共19层)  | 板楼,5人关注 / 一年前发布,304,"9,500元/平"
房子的格局好，采光跟空气很对流，购物方便,名雅苑 -鹤山市,5室2厅 | 197平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,90,"4,569元/平"
南隅街  5室2厅2卫  208平方,南隅街 -中心城区,5室2厅 | 208平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,8人关注 / 一年前发布,61,"2,933元/平"
大户型双套间，格局优良，配套齐全,东升邨 -鹤山市,4室2厅 | 144平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,58,"4,028元/平"
越秀星汇名庭，户型方正，楼层靓，采光通透,越秀星汇名庭 -鹤山市,4室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,92.8,"6,875元/平"
绿地公园城 南北对流 户型方正实用。,绿地公园城 -鹤山市,4室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,100,"7,693元/平"
保利骏凯别墅，大花园，毛坯格局随便改！随时看房,名冠骏凯豪庭二期 -经济开发,6室2厅 | 360平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 塔楼,2人关注 / 一年前发布,480,"13,334元/平"
地段靓，交通便利不阻塞，小区安静不吵杂,嘉悦名都 -鹤山市,4室2厅 | 145平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,85,"5,863元/平"
南湖壹号 毛坯 五房 南向 望小区花园,南湖壹号 -枢纽新城,5室2厅 | 126平米 | 东南 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 6个月以前发布,120,"9,524元/平"
环境好，价格可谈，望江别墅，景观好，生活居住环境好,名冠骏凯豪庭二期 -经济开发,6室3厅 | 369平米 | 南 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,2人关注 / 一年前发布,450,"12,196元/平"
财富海景 高层釆光好 毛坯3房,财富海景 -外海,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,140,"10,145元/平"
全小区仅一套南北对流一字楼 后望高尔夫 前望小区,越秀·星汇名庭 -北新区,4室2厅 | 154平米 | 南 北 | 简装 | 中楼层(共31层)  | 塔楼,5人关注 / 一年前发布,285,"18,507元/平"
坐观高尔夫西江全景，南北对流一字楼，,珠江御景山庄 -滨江新区,5室2厅 | 228.5平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,325,"14,224元/平"
十里方圆九章，大平层，诚心出售,十里方圆―九章 -鹤山市,6室2厅 | 245平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 一年前发布,188.6,"7,698元/平"
新世纪花园  四房三厅三卫  大面积,新世纪花园 -经济开发,4室3厅 | 237平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,23人关注 / 一年前发布,69.8,"2,946元/平"
高楼靓景望西江 朝南户型正规毛坯4房 业主诚心出售,天悦星院 -滨江新区,4室2厅 | 140平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,190,"13,572元/平"
此房毛坯高层 标准3房 南北对流 通风采光好 双紫茶,海逸城邦 -北新区,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,179.8,"16,804元/平"
汇悦城旁金汇城市广场小区中层拎包入住,金汇城市广场 -北新区,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共19层)  | 板塔结合,0人关注 / 6个月以前发布,249,"15,563元/平"
嘉悦名都 4室2厅 南,嘉悦名都 -鹤山市,4室2厅 | 206平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 4个月以前发布,250,"12,136元/平"
配套成熟，出行方便 楼层好 户型通透,得圣湾 -其他城区,4室2厅 | 127.79平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,63,"4,930元/平"
东庆北路 4层复式空中别墅 精装,东庆北路 -中心城区,5室4厅 | 266.5平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,198,"7,430元/平"
十里方圆大雅 电梯洋房 147㎡3房2厅 精装修,十里方圆―大雅 -鹤山市,3室2厅 | 147平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,15人关注 / 一年前发布,124.88,"8,496元/平"
业主诚心出售     配套成熟     采光好,怡乐苑 -育德,4室2厅 | 176平米 | 东北 | 精装 | 中楼层(共14层)  | 板楼,4人关注 / 一年前发布,148,"8,410元/平"
保利·中汇，高楼层，毛坯四房  业主诚心出售,保利·中汇花园二期 -滨江新区,4室2厅 | 196平米 | 北 | 毛坯 | 高楼层(共32层)  | 塔楼,4人关注 / 一年前发布,268,"13,674元/平"
毛坯三房 满五年 朝南看花园 安静景观好,保利·中汇花园二期 -滨江新区,3室2厅 | 85平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,0人关注 / 一年前发布,95,"11,177元/平"
凯城一品 电梯高楼层 大面积实用,凯城一品 -滨江新区,4室2厅 | 151.61平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,180,"11,873元/平"
美的公园天下，自主装修，业主诚意出售,美的公园天下 -滨江新区,4室2厅 | 147.42平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,5人关注 / 一年前发布,175,"11,871元/平"
怡乐苑 3室2厅 南,怡乐苑 -育德,3室2厅 | 127平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼,0人关注 / 3个月以前发布,98,"7,717元/平"
房子平靓正，大面积3房，繁华社区，成熟配套,康乐里 -江华港口,3室2厅 | 137平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,48,"3,504元/平"
保利一期，实用三房，精装修，小区中间位置，带车位,保利·中宇花园 -滨江新区,3室2厅 | 89平米 | 北 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,117,"13,147元/平"
育德享受型户型，保养完善拎包入住。,怡兴苑 -育德,4室2厅 | 147平米 | 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,150,"10,205元/平"
滨江新区地段。保利刚需实用4房,保利·中悦花园 -滨江新区,4室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,180,"14,635元/平"
保利·中悦花园 4房对流精品中户型出售,保利·中悦花园 -滨江新区,4室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,158,"13,278元/平"
尚岭新筑二期！大四房全屋精装修业主保养得当!,尚岭新筑 -双龙,4室2厅 | 139平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 一年前发布,132,"9,497元/平"
保利中宇花园，环境优美，适宜居住，物业管理完善,保利·中宇花园 -滨江新区,4室2厅 | 143平米 | 西南 | 毛坯 | 低楼层(共33层)  | 塔楼,3人关注 / 一年前发布,155,"10,840元/平"
户型好，通风采光好，视野广阔，生活便利,汇景湾 -白沙农林,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,108,"9,000元/平"
越秀星汇名庭!紫茶旁!电梯中层不考路!舒适四居室!,越秀·星汇名庭 -北新区,4室2厅 | 158平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,7人关注 / 一年前发布,258,"16,330元/平"
户型方正 配套设施齐全 交通便利 通风采光好,胜利路148号 -白沙农林,4室3厅 | 122.3平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,83,"6,787元/平"
电梯3房 精装修3房 小区管理,怡兴苑 -育德,4室2厅 | 148.5平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,143,"9,630元/平"
保利二期高层对流户型，采光好，位置漂亮，随时看房,保利中央花园中韵 -鹤山市,5室2厅 | 141.25平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,133,"9,416元/平"
"笋盘出售, 电梯洋房, 四房毛坯户型 有大平台用,",景山湾 -双龙,4室1厅 | 133.55平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,4人关注 / 一年前发布,135,"10,109元/平"
鹤山十里方圆 电梯大平层 户型方正实用,十里方圆-国风 -鹤山市,5室2厅 | 240平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,4人关注 / 一年前发布,230,"9,584元/平"
新华城 精装两房 家私家电齐全,鹤山新华城 -鹤山市,2室2厅 | 73平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,5人关注 / 一年前发布,63,"8,631元/平"
府西康城广场旁明泰城毛坯南北对流74房,明泰城 -府西,4室2厅 | 144.9平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,2人关注 / 7个月以前发布,133,"9,179元/平"
北新区 丽苑南奥园 小区中间 步梯复式大四房,丽苑南奥园 -良化北街,4室2厅 | 129平米 | 南 | 精装 | 高楼层(共6层)  | 平房,15人关注 / 一年前发布,85,"6,590元/平"
江海康城公寓中层精装，拎包入住,康城 -府西,1室1厅 | 33.27平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,25人关注 / 一年前发布,33,"9,919元/平"
保利中韵  南向四房 小区环境优美 居住舒适,保利中央花园中韵 -鹤山市,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,125,"9,766元/平"
合盛花园 标准两房户型 格局方正 带家私电器,合盛花园 -鹤山市,2室2厅 | 68平米 | 北 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,36,"5,295元/平"
不诚心出售，价格可以谈，带家私。,天英·月珑湾 -滨江新区,3室2厅 | 99.52平米 | 东南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 一年前发布,125,"12,561元/平"
滨江新城品质小区方直珑湖湾带车位出售,方直·珑湖湾 -滨江新区,4室2厅 | 164.03平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,4人关注 / 一年前发布,198,"12,071元/平"
碧桂园天汇 4室2厅 南,碧桂园天汇 -鹤山市,4室2厅 | 138平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,5人关注 / 一年前发布,105,"7,609元/平"
新装四房，南北对流，静中带旺，适合改善适用房,珠江帝景湾 -白沙农林,4室2厅 | 229.69平米 | 东南 | 精装 | 低楼层(共24层)  | 板塔结合,4人关注 / 一年前发布,225,"9,796元/平"
环境舒适，身份象征，生活便利，交通方便,金碧湾别墅 -经济开发,4室2厅 | 328平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,15人关注 / 一年前发布,180,"5,488元/平"
置业花园*笋大户型4房 税费便宜,置业花园 -鹤山市,4室2厅 | 131平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,38,"2,901元/平"
共和碧桂园  温馨2房带装修 即买即入住,共和碧桂园翠湖畔 -鹤山市,2室2厅 | 89.45平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,6人关注 / 一年前发布,55,"6,149元/平"
山水云间双拼南向别墅  290方 户型方正 带阳台,碧桂园-山水云间 -鹤山市,4室2厅 | 290平米 | 南 | 毛坯 | 4层  | 暂无数据 | 独栋别墅 ,0人关注 / 一年前发布,425,"14,656元/平"
碧桂园别墅，南向，花园大，位置好，精装修未住过,碧桂园-芳邻2期 -鹤山市,4室2厅 | 213.35平米 | 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,289.8,"13,584元/平"
凯旋城是市区电梯洋房，南北对流，采光通透,凯旋城 -鹤山市,5室2厅 | 256平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 7个月以前发布,238,"9,297元/平"
圭小市侨，中层一字楼，装修新净拎包入住,会俊花园 -圭峰,3室2厅 | 97.64平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,73.5,"7,528元/平"
此房满五唯一，格局方正，位置好，地段靓,凯旋城 -鹤山市,3室2厅 | 129.01平米 | 西南 | 精装 | 低楼层(共13层)  | 塔楼,3人关注 / 一年前发布,91,"7,054元/平"
南北对流一字楼，包全部家私家电外加一个车位,碧桂园天汇 -鹤山市,4室2厅 | 139.33平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,138,"9,905元/平"
保利中韵中楼层，装修保养好，南北对流，采光通风好,保利中央花园中韵 -鹤山市,5室2厅 | 142平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,137.8,"9,705元/平"
半山靓房，就看珑城！住过都话好，还买第二套！,珑城半山 -圭峰,5室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共31层)  | 平房,1人关注 / 10个月以前发布,201,"13,863元/平"
碧桂园天誉精，精装家电齐全，保养新静，全新未入住过,碧桂园天誉 -鹤山市,4室2厅 | 165平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,150,"9,091元/平"
西江悦府 中层四房 对流户型 小区管理,西江悦府 -良化北街,4室2厅 | 147平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,230,"15,647元/平"
碧桂园水畔  精装修  户型好  位置方便,碧桂园-水畔翠庭 -鹤山市,4室2厅 | 202平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,99,"4,901元/平"
楼层靓，中高楼层，无遮挡，采光好。,松鹤国际新城 -鹤山市,3室2厅 | 110平米 | 北 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,84.5,"7,682元/平"
碧桂园西江华府 4室2厅 南,碧桂园西江华府 -良化北街,4室2厅 | 147平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,168,"11,429元/平"
御景湾大面积高层，视野开阔，采光好,众域御景湾1期 -鹤山市,4室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,1人关注 / 一年前发布,97,"7,133元/平"
现代简约，高层观景，视野好，空气新鲜，产权清晰,花岸 -鹤山市,4室2厅 | 128平米 | 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,72.5,"5,665元/平"
松鹤广场四房二套间低楼层望花园,松鹤广场冲尾苑 -鹤山市,4室2厅 | 143.94平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,4人关注 / 一年前发布,78,"5,419元/平"
兴教苑 高层 三室 小区管理 采光充足,兴教苑 -鹤山市,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,30,"3,371元/平"
碧桂园天汇 小区绿化高  入住率高  小区环境好,碧桂园天汇 -鹤山市,4室2厅 | 172平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,200,"11,628元/平"
十里方圆-九章，方正两房，近4A风景区，风景靓！！,十里方圆―九章 -鹤山市,2室1厅 | 78.38平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,5人关注 / 一年前发布,50,"6,380元/平"
复式汇桥花园 大四房  采光好坏境好！,汇侨花园 -其他城区,4室3厅 | 105.5平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,130,"12,323元/平"
高档小区水畔翠庭，小区有别墅和洋房，环境安静,碧桂园-水畔翠庭 -鹤山市,4室2厅 | 165平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,120,"7,273元/平"
紫菌庭园 电梯四房 南北对流 出则繁荣 入则安宁,紫茵庭园 -北新区,4室2厅 | 176平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,155,"8,807元/平"
永安路，大户型 市区房仅售32万,永安路 -鹤山市,3室2厅 | 103.94平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,26.5,"2,550元/平"
此房格局靓，阳台够 大，开阳，通风透光好,碧桂园公园1号三期 -鹤山市,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,8人关注 / 一年前发布,75,"6,579元/平"
市区高档小区别墅，生活圈成熟，生活方便,半山豪庭 -育德,4室2厅 | 230平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,6人关注 / 一年前发布,366,"15,914元/平"
精装，全新没入住过，格局好，采光好,十里方圆云玺 -鹤山市,4室2厅 | 127平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 一年前发布,105,"8,268元/平"
采光充足，交通便利 配套设施齐,珠江御景山庄 -滨江新区,4室2厅 | 138平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,171,"12,392元/平"
房子简装，无户口，能满足一家四口的需要。,良化新村西 -良化北街,2室2厅 | 83.89平米 | 西 | 简装 | 高楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,35,"4,173元/平"
正规毛坯三房，光线好，楼层适中,丰盛苑 -育德,3室1厅 | 96.75平米 | 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,95,"9,820元/平"
朗泰花园，总价低，小区管理，货款小月供无压力。,朗泰花园 -鹤山市,3室1厅 | 56.7平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,30,"5,292元/平"
