标题,开发商,房子信息,发布信息,售价/万,单价
房子是电梯房适合养老人居住人文素质高,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,57.5,"6,101元/平"
想要大露台阁楼的来 小宋城旁大3房 花花草草有归属,合旺园 -鼎立商圈,3室2厅 | 153.09平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,10人关注 / 一年前发布,75,"4,900元/平"
蓝湾国际温馨三室 精装修 可拎包入住,新芒果蓝湾国际 -集英街商圈,3室2厅 | 91.7平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 11个月以前发布,94.5,"10,306元/平"
东方今典四室手续齐全楼间距100米,东方今典御府 -西湖商圈,4室2厅 | 140.22平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,5人关注 / 10个月以前发布,112,"7,988元/平"
翠庭尚都 养眼大3房 省心入住 卧室空间大 值得一看,翠庭尚都 -龙亭商圈,3室2厅 | 120.25平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,8人关注 / 8个月以前发布,115,"9,564元/平"
橄榄城二期洋房，采光好，在小区中间位置,郑开橄榄城二期 -西湖商圈,3室2厅 | 124平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,148,"11,936元/平"
希尔斯，全款房，无大税，经典两室，业主诚心出售。,天翼府 -市政府商圈,2室2厅 | 93.89平米 | 东南 | 其他 | 低楼层(共25层)  | 塔楼,2人关注 / 一年前发布,70.8,"7,541元/平"
青年城 四房两厅两卫 小高层 精装修 中间楼层,青年城 -青年城商圈,4室1厅 | 123.74平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,1人关注 / 6个月以前发布,98,"7,920元/平"
洋房一楼带院，业主诚心出售 ，136平大三房,润城东区 -集英街商圈,3室2厅 | 134.69平米 | 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,1人关注 / 一年前发布,169,"12,548元/平"
秀坪公寓 有本 满五 视野开阔 有钥匙,秀坪公寓 -万达商圈,3室2厅 | 146.44平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,70,"4,781元/平"
户型方正，视野开阔，采光好，全明户型,嘉泰新城 -鼎立商圈,3室2厅 | 132.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,79,"5,950元/平"
南北通透，南北双阳台，自由装修,郑开橄榄城一期 -西湖商圈,3室2厅 | 138.21平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,14人关注 / 10个月以前发布,123,"8,900元/平"
业主急售   看房方便   户型好,西苑D区 -大王屯商圈,3室1厅 | 94.77平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,39,"4,116元/平"
东郊品质小区 采光好 拎包入住，有储藏室，全屋地暖。,绿都上河城 -顺河商圈,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,65,"7,223元/平"
此房是新小区，2016年交的房子，户型设计合理，,郑开森林半岛 -万达商圈,3室2厅 | 120.01平米 | 东 南 北 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,100,"8,333元/平"
精装三房，拎包入住，南北通风，采光好。,建业大宏城市花园 -鼎立商圈,3室2厅 | 91.18平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,62,"6,800元/平"
西区精装好房，诚心出售，价格可谈,晋河花园 -万达商圈,4室2厅 | 143.13平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,95,"6,638元/平"
西边西户，采光好，装修干净，拎包入住,鼎立国际城C区 -鼎立商圈,3室2厅 | 117.12平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,99,"8,453元/平"
御龙湾，东区电梯洋房中层，三室两厅精装修！,御龙湾 -海洋馆商圈,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 3个月以前发布,119,"9,445元/平"
此房户型方正，两个卧室朝阳，客厅朝阳,郑开橄榄城二期 -西湖商圈,3室2厅 | 86.75平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,8人关注 / 一年前发布,89,"10,260元/平"
房子是一楼带院的，小区环境好，有物业；采光好，,一建家属院 -火车站商圈,3室2厅 | 122.03平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,13人关注 / 8个月以前发布,79,"6,474元/平"
东方今典 四室 手续齐全 随时可以看房,东方今典御府 -西湖商圈,4室2厅 | 140.22平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,110,"7,845元/平"
城市花园中间楼层，采光好有地暖拎包入住，生活方便,建业大宏城市花园 -鼎立商圈,3室2厅 | 91.09平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,56,"6,148元/平"
东方今典 四室 手续齐全 随时可以看房,东方今典御府 -西湖商圈,4室2厅 | 140.22平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,110,"7,845元/平"
城市花园中间楼层，采光好有地暖拎包入住，生活方便,建业大宏城市花园 -鼎立商圈,3室2厅 | 91.09平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,56,"6,148元/平"
万达旁，森林半岛，，，，环境优美,郑开森林半岛 -万达商圈,3室2厅 | 145.82平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,10人关注 / 4个月以前发布,104,"7,133元/平"
蓝天ZY公园套二有阳台有装修有家电,蓝天中央公园 -市政府商圈,2室2厅 | 96.27平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,2人关注 / 11个月以前发布,79.5,"8,259元/平"
临一渠六河绿化公园， 视野宽阔，采光充足，交通便利,西城明都 -市政府商圈,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,80,"6,300元/平"
金明广场，浪漫之都，电梯房，大三房。,浪漫之都 -市政府商圈,4室2厅 | 193平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 一年前发布,120,"6,218元/平"
检察院家属院二楼大两室带一个地上储藏室,检察院家属院 -集英街商圈,2室2厅 | 129.16平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,21人关注 / 一年前发布,75,"5,807元/平"
四季城   一手毛坯    随意设计   布局合理,晋开四季城 -四季城商圈,3室2厅 | 121.26平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,3人关注 / 7个月以前发布,81.5,"6,722元/平"
康乐小三室 本房是5层  可以贷款,康乐家园西区 -市政府商圈,3室1厅 | 88.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,34,"3,840元/平"
市委宣传部家属院 大三居 两厅两卫,市委宣传部家属院 -市政府商圈,3室2厅 | 155平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,96,"6,194元/平"
宋城雅居 低单价 有钥匙看房方便 随时过户,宋城雅居 -开元商圈,3室2厅 | 125.38平米 | 东 南 北 | 其他 | 高楼层(共13层)  | 板塔结合,12人关注 / 9个月以前发布,78,"6,222元/平"
公摊小的 中间楼层 配套齐全 另带储藏室一间。,晋安苑小区 -市政府商圈,3室2厅 | 116.82平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,69.9,"5,984元/平"
中山路成熟小区 视野宽阔，采光好，配套设施齐全,南太平街综合楼 -相国寺商圈,3室1厅 | 78.55平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,35,"4,456元/平"
此房产权清晰，配套成熟，适合喜欢老城区的客户,新华住宅小区 -相国寺商圈,3室1厅 | 80.91平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 4个月以前发布,45,"5,562元/平"
大活院，精装三室，共2层，产权清晰，随时可看。,宋城路大朱屯老区 -大王屯商圈,3室2厅 | 176.97平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 2个月以前发布,160,"9,042元/平"
蓝天中央公园 2室2厅 南,蓝天中央公园 -市政府商圈,2室2厅 | 95.64平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,75,"7,842元/平"
集英商圈，地理位置优越，配套齐全房屋装修好,金鼎丽都 -集英街商圈,3室2厅 | 91.41平米 | 东南 | 其他 | 中楼层(共18层)  | 板塔结合,4人关注 / 5个月以前发布,75,"8,205元/平"
小区门口就是星光天地商场，金明实验上学步行近,金耀绿城 -鼎立商圈,2室1厅 | 78.69平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,50,"6,355元/平"
御龙湾，东区电梯洋房中层，三室两厅精装修！,御龙湾 -海洋馆商圈,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 3个月以前发布,119,"9,445元/平"
天下城 二楼 4室2厅2卫 精装修  40平露台 风景优美,天下城 -龙亭商圈,4室2厅 | 147.01平米 | 南 北 | 其他 | 4层  | 板塔结合,10人关注 / 一年前发布,120,"8,163元/平"
迎宾路双阳台三居室，年轻人小孩陪读、地段好，好出租,迎宾路64号 -相国寺商圈,3室1厅 | 102.18平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 4个月以前发布,38,"3,719元/平"
本房满五唯一，无抵押，产权清晰，房本在手随时过户。,开元华庭 -开元商圈,2室2厅 | 88.49平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,6人关注 / 一年前发布,105,"11,866元/平"
繁华地段，经典三室，采光好，成熟菜场 学 校,汉兴路59号院 -市政府商圈,3室2厅 | 90.36平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,11人关注 / 7个月以前发布,46,"5,091元/平"
二楼两卧朝阳 户型方正 带储藏室 诚心出售,集英花园 -开元商圈,3室2厅 | 134平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,90,"6,717元/平"
精装修 3室2厅，东西朝向，光线充足。,黄河苑 -市政府商圈,3室2厅 | 104.08平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,2人关注 / 10个月以前发布,50.6,"4,862元/平"
香堤湾 小高层简洁大三室 采光视野佳 户型通透 保养好,伟业香堤湾 -集英街商圈,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,112,"8,550元/平"
慧远花园一梯一户，手续齐全，满五年，户型南北通透,慧远花苑 -市政府商圈,3室1厅 | 98.84平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,55,"5,565元/平"
急售 晋安路 两室两厅一厨一卫 精装婚房,武夷路13号 -市政府商圈,2室2厅 | 87.86平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,41,"4,667元/平"
房子精装修，三室，小区环境好，居住舒适度高。,晋开四季城 -四季城商圈,3室1厅 | 118.69平米 | 南 北 | 其他 | 低楼层(共23层)  | 暂无数据,0人关注 / 5个月以前发布,106,"8,931元/平"
蓝天中央公园精装大3房  买它省事省钱省时可直接住,蓝天中央公园 -市政府商圈,3室2厅 | 140.41平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,122,"8,689元/平"
视野好 ，位置好，生活便利，出行方便,弘福花园 -市政府商圈,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,64,"5,000元/平"
西坡街，可贷款，生活社区成熟、,市工商局家属院 -相国寺商圈,3室2厅 | 84.81平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,45,"5,306元/平"
成熟社区，生活配套齐全交通便利，视野宽阔采光好,蝶御花园 -市政府商圈,3室2厅 | 116平米 | 东南 | 其他 | 高楼层(共17层)  | 板塔结合,3人关注 / 7个月以前发布,93.5,"8,061元/平"
永合丽景交通便利，三室两厅，采光好。,永合丽景 -市政府商圈,3室2厅 | 106.02平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,72.5,"6,839元/平"
集英街精装两房，即买即住，业主改善住房诚意出售,西湖翠庭 -开元商圈,2室1厅 | 89.38平米 | 东南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,62,"6,937元/平"
开封市人民检察院家属院素质小区,检察院家属院 -集英街商圈,3室2厅 | 126.02平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,66,"5,238元/平"
此房产权清晰，南北双阳台，交通便利，小区安静lvh,嘉和丽园 -市政府商圈,3室2厅 | 128.95平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,90,"6,980元/平"
英伦春天带内楼梯复式4室2卫双水双气集英片区有证,英伦春天 -集英街商圈,4室1厅 | 87平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,6人关注 / 7个月以前发布,91.9,"10,564元/平"
此房想近期入出售可以拎包入住房间干净,消防队家属院 -市政府商圈,3室2厅 | 85.07平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,3人关注 / 11个月以前发布,38,"4,467元/平"
新上房源  户型好  装修好拎包入住,锦绣花园 -开元商圈,3室2厅 | 120.86平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,7人关注 / 一年前发布,85.5,"7,075元/平"
生活方便，临鲜丰生活近，购物方便，出行便利,康禧苑(龙亭区) -开元商圈,3室2厅 | 134.38平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,5人关注 / 一年前发布,76,"5,656元/平"
集英花园精装三室，低楼层拎包入住！,集英花园 -开元商圈,3室2厅 | 137平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,102,"7,446元/平"
业主急售好房，户型方正。。。。。。。。,电业局生活小区 -市政府商圈,3室1厅 | 89.5平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,58,"6,481元/平"
鑫汇花园 毛坯没住过 步梯低楼层 通透户型  小三居,鑫汇花园 -大王屯商圈,3室1厅 | 94.17平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,56,"5,947元/平"
此房满两年，无抵押。中间好楼层，采光好。,宋城雅居 -开元商圈,2室2厅 | 91.05平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,68,"7,469元/平"
九大街 永威刚需三室  拎包入住 开封物业天花板,永威梅隆公馆 -万达商圈,3室1厅 | 99.93平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 7个月以前发布,85,"8,506元/平"
急售 未来美好 三室两厅一厨一卫  精装 户型方正,未来美好家园 -龙亭商圈,3室2厅 | 122.24平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,87,"7,118元/平"
集英花园带阁楼  实际面积大  视野开阔  大露台,集英花园 -开元商圈,3室2厅 | 92.42平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,64,"6,925元/平"
幸福里 在小区好位置   精装三房两卫 有本 看房方便,幸福里 -青年城商圈,3室2厅 | 124.91平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,1人关注 / 5个月以前发布,98.8,"7,910元/平"
业主诚心出售，房子不错，大家多推推,永威梅隆公馆 -万达商圈,3室2厅 | 104.05平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,3人关注 / 6个月以前发布,85,"8,170元/平"
永威梅隆公馆，精装修家具家电齐全。业主诚心出售,永威梅隆公馆 -万达商圈,4室2厅 | 170.31平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 7个月以前发布,179.8,"10,558元/平"
二十三中旁桃园新村三室  精装修  龙亭公园东边,桃园新村 -龙亭商圈,3室1厅 | 83.63平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,7人关注 / 9个月以前发布,45,"5,381元/平"
星光天地旁三室中楼层 产权清晰 随时过户,省一监西家属院 -鼎立商圈,3室1厅 | 93.86平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,56,"5,967元/平"
洋房中间层  精装交付  得房率高,恒大帝景南苑 -CBD商圈,3室2厅 | 138.11平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,145,"10,499元/平"
一梯一户 户型方正 采光好，电梯房 配套齐全 交通便利,幸福里 -青年城商圈,3室2厅 | 137.1平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,11人关注 / 一年前发布,105,"7,659元/平"
业主人很好，房子视野好，同小区价位,恒大帝景南苑 -CBD商圈,3室2厅 | 137平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,4人关注 / 11个月以前发布,110,"8,030元/平"
西郊乡政府家属院 小三居，总价低，成熟片区,西郊乡政府家属院 -鼎立商圈,3室1厅 | 87平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,22人关注 / 一年前发布,41,"4,713元/平"
精装修南北通透大三室·契税满两年中间好楼层,永威梅隆公馆 -万达商圈,3室2厅 | 137.24平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,3人关注 / 11个月以前发布,140,"10,202元/平"
郑开橄榄城二期，满二有本无大税。,郑开橄榄城二期 -西湖商圈,3室2厅 | 128平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,2人关注 / 一年前发布,113,"8,829元/平"
此房精装修  户型方正 业主诚心出售，,东方今典御府 -西湖商圈,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,92,"7,797元/平"
中间楼层，房子精装，有本无大税，业主诚心出售,郑开橄榄城二期 -西湖商圈,4室2厅 | 141.93平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,16人关注 / 一年前发布,150,"10,569元/平"
楼层好，视野宽阔采光充足，配套设施齐全，设施齐全,幸福里 -青年城商圈,3室1厅 | 126.96平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,10人关注 / 6个月以前发布,96,"7,562元/平"
金明府，精装修一天未住，急售。。。,枫华·金明府 -青年城商圈,4室2厅 | 120.1平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,2人关注 / 3个月以前发布,110,"9,160元/平"
万达旁 森林半岛北苑小高层毛坯三室 洋房户型,郑开森林半岛 -万达商圈,3室2厅 | 134.5平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 10个月以前发布,104,"7,733元/平"
大梁门里精装低楼层大三室干净整洁,振兴花园 -龙亭商圈,3室2厅 | 163.2平米 | 南 北 | 其他 | 低楼层(共5层)  | 板塔结合,2人关注 / 8个月以前发布,130,"7,966元/平"
西湖东岸，西湖观邸小高层，有钥匙随时看房,西湖观邸 -集英街商圈,2室1厅 | 89平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,70,"7,866元/平"
此房格局方正楼层好视野开阔采光充足交通便利,晋河花园 -万达商圈,3室1厅 | 143.11平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 7个月以前发布,73,"5,101元/平"
晋河花园，户型布局合理，采光充足！全明设计,晋河花园 -万达商圈,4室2厅 | 176.68平米 | 南 北 西 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,90,"5,094元/平"
幸福里 在小区好位置   精装三房两卫 有本 看房方便,幸福里 -青年城商圈,3室2厅 | 124.91平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,1人关注 / 5个月以前发布,98.8,"7,910元/平"
九大街 永威刚需三室  拎包入住 开封物业天花板,永威梅隆公馆 -万达商圈,3室1厅 | 99.93平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 7个月以前发布,85,"8,506元/平"
急售 未来美好 三室两厅一厨一卫  精装 户型方正,未来美好家园 -龙亭商圈,3室2厅 | 122.24平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,87,"7,118元/平"
洋房中间层  精装交付  得房率高,恒大帝景南苑 -CBD商圈,3室2厅 | 138.11平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,145,"10,499元/平"
一梯一户 户型方正 采光好，电梯房 配套齐全 交通便利,幸福里 -青年城商圈,3室2厅 | 137.1平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,11人关注 / 一年前发布,105,"7,659元/平"
二十三中旁桃园新村三室  精装修  龙亭公园东边,桃园新村 -龙亭商圈,3室1厅 | 83.63平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,7人关注 / 9个月以前发布,45,"5,381元/平"
星光天地旁三室中楼层 产权清晰 随时过户,省一监西家属院 -鼎立商圈,3室1厅 | 93.86平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,56,"5,967元/平"
此房满两年，无抵押。中间好楼层，采光好。,宋城雅居 -开元商圈,2室2厅 | 91.05平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,68,"7,469元/平"
橄榄城二期三室精装修，采光，家具家电全部,郑开橄榄城二期 -西湖商圈,3室2厅 | 124.38平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,16人关注 / 一年前发布,110,"8,844元/平"
一楼洋房前后带花园精装修带家具,圣桦城 -青年城商圈,4室2厅 | 152.71平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,261,"17,092元/平"
秀坪公寓 2室2厅 南 北,秀坪公寓 -万达商圈,2室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,50,"4,630元/平"
西湖东岸  精装小三房 +15平 中间楼层  没有大税,润城东区 -集英街商圈,3室2厅 | 88.02平米 | 东 | 其他 | 中楼层(共28层)  | 板塔结合,1人关注 / 7个月以前发布,76,"8,635元/平"
首座时代精装修，好楼层，业主诚心,首座时代 -鼎立商圈,3室2厅 | 142.71平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,121,"8,479元/平"
此房精装修  户型方正 业主诚心出售，,东方今典御府 -西湖商圈,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,92,"7,797元/平"
楼层好，视野开阔，采光充足，小区配套齐全,建业大宏城市花园 -鼎立商圈,3室2厅 | 89.07平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 6个月以前发布,58,"6,512元/平"
铁塔公园景区 龙亭公园景区 万岁山公园景区,麗水皇庭 -龙亭商圈,3室1厅 | 68.53平米 | 南 西南 | 其他 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,31,"4,524元/平"
集英花园带阁楼  实际面积大  视野开阔  大露台,集英花园 -开元商圈,3室2厅 | 92.42平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,64,"6,925元/平"
郑开橄榄城二期，满二有本无大税。,郑开橄榄城二期 -西湖商圈,3室2厅 | 128平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,2人关注 / 一年前发布,113,"8,829元/平"
较大实用面积 扩展面积大  无大税,东京新城 -开元商圈,4室2厅 | 180.35平米 | 南 北 | 其他 | 高楼层(共12层)  | 板塔结合,3人关注 / 一年前发布,116.5,"6,460元/平"
房子有本无大税 楼层是小高层 户型方正 随时看房,锦诚·盛世 -开大商圈,2室2厅 | 91.15平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,51.5,"5,651元/平"
老城区临城墙公园 生活便利，有医院，环城公园，,西南城坡路21号 -相国寺商圈,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,63,"6,117元/平"
小高层  中间楼层  门口就是农贸市场,宋城雅居 -开元商圈,3室1厅 | 125.38平米 | 东 | 其他 | 高楼层(共13层)  | 板塔结合,0人关注 / 2个月以前发布,82,"6,541元/平"
交通便利老城区繁华地段，公摊小实用性高的房,维新花园 -火车站商圈,2室2厅 | 130.38平米 | 东 西 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,58,"4,449元/平"
此房地理位置好，交通方便小区环境好，生活方便。,永合丽景 -市政府商圈,4室2厅 | 168.51平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,85,"5,045元/平"
贵和世嘉电梯房 拎包入住，小区环境优美.安静。,贵和世嘉 -市政府商圈,3室2厅 | 132平米 | 南 西南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,129.8,"9,834元/平"
贵和世嘉电梯房，拎包入住，小区环境优美.安静。,贵和世嘉 -市政府商圈,3室2厅 | 124.16平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,110,"8,860元/平"
老城区临城墙公园 生活便利，有医院，环城公园，,西南城坡路21号 -相国寺商圈,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,63,"6,117元/平"
小高层  中间楼层  门口就是农贸市场,宋城雅居 -开元商圈,3室1厅 | 125.38平米 | 东 | 其他 | 高楼层(共13层)  | 板塔结合,0人关注 / 2个月以前发布,82,"6,541元/平"
房子保持比较干净，采光充足交通便利，生活方便,夷山苑 -市政府商圈,3室2厅 | 100.4平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,50,"4,981元/平"
楼层低  三开间朝阳  采光不错  生活方便 交通便利,西郊商场民政局家属院 -市政府商圈,3室2厅 | 120.06平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,74.9,"6,239元/平"
交通便利，配套完善，视野良好，采光充足,魏都路公路段家属院 -大王屯商圈,2室2厅 | 78平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,35,"4,488元/平"
精装修，小区环境好，采光好，诚心卖,康禧苑(龙亭区) -开元商圈,3室2厅 | 99.67平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,38人关注 / 一年前发布,66,"6,622元/平"
蔚蓝加州，三室两厅 ，精装修，拎包入住，楼层低,蔚蓝加州 -顺河商圈,3室2厅 | 127.43平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,84.5,"6,632元/平"
此房低层，三室两厅精装，采光充足，配套齐全,花园小区 -顺河商圈,3室2厅 | 100.22平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,56,"5,588元/平"
此房房子方正，满五唯一视野宽阔，采光充足，,集英花园 -开元商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 11个月以前发布,97.5,"7,927元/平"
西湖旁  小区交通便利  出入方便  居住舒适度高,水岸家园 -集英街商圈,3室2厅 | 103平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,90,"8,738元/平"
麗水皇庭 3室2厅 南 北,麗水皇庭 -龙亭商圈,3室2厅 | 136.11平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,97,"7,127元/平"
