标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
恒大湖景花园社区 改善四居室 实木家具 有房本可贷款,恒大华府 -中海商圈,4室2厅 | 185平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,9人关注 / 一年前发布,252,"13,622元/平"
加州华府特精装“复式楼”有车位,泽信▪加州华府 -成吉思汗东商圈,2室1厅 | 116.1平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,14人关注 / 一年前发布,140,"12,059元/平"
东风路 阳面客厅 标准户型 全天采光 看房方便,扶贫办家属楼 -东风路商圈,2室1厅 | 86.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,81,"9,397元/平"
毛坯，小区环境好，位置好，楼层好,公元大道 -金川开发区,3室2厅 | 126.3平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,60,"4,751元/平"
"大三居，全天采光，看房方便,交通便利",北方家园南区 -中海商圈,3室2厅 | 217.88平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,300,"13,770元/平"
呼和佳地南北通透小三居 精装修 电梯房 可按揭 急售,熙龙苑 -八一商圈,3室2厅 | 126平米 | 北 南 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,133,"10,556元/平"
国标三居 南北格局 采光好 房本满5年，160万不带车位,熙龙苑 -八一商圈,3室1厅 | 126.75平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,18人关注 / 一年前发布,160,"12,624元/平"
桥华世纪村（居华四季） 4室2厅 南 北,桥华世纪村（居华四季） -桥华商圈,4室2厅 | 218.15平米 | 南 北 | 精装 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,7人关注 / 6个月以前发布,360,"16,503元/平"
南门外3居6楼，采光好，南北通透，满五不唯一,巧报工程公司家属院 -南门外商圈,3室2厅 | 103.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,92,"8,929元/平"
附院的  贝尔路  地铁口  孝心一楼,供销社家属楼 -海亮商圈,2室2厅 | 80.92平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,5人关注 / 一年前发布,68,"8,404元/平"
中海铂悦府 3室2厅 南 北,中海铂悦府 -中海商圈,3室2厅 | 168平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,269,"16,012元/平"
万达商圈，地铁口小区环境优美生活配套齐交通四通八达,新家园 -团结商圈,3室2厅 | 119.92平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,123,"10,257元/平"
金川好房，交通便利，出行方便。,万枫美利山 -金川开发区,3室2厅 | 145平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,94,"6,483元/平"
便宜房急售！慧谷蓝庭 低层低密度舒适住宅小区 高绿化,慧谷蓝庭 -西万达商圈,3室2厅 | 138.8平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,118,"8,502元/平"
赛罕区 金桥 民智苑 采光好 视野好 好楼层 看房方便,民智苑 -金桥商圈,3室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,116,"8,593元/平"
恒大旁.毛坯房.楼层好.房本在手.出行方便,水语青城 -南湖商圈,2室1厅 | 114.56平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,85,"7,420元/平"
团结小区北区 3室1厅 南,团结小区北区 -团结商圈,3室1厅 | 87.9平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,73,"8,305元/平"
金地大3居，户型南北通透，楼层好,金地名京 -南湖商圈,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,3人关注 / 11个月以前发布,130,"10,834元/平"
一带二带小院低密度别墅 实用面积大 利用率高,竹园小区西区 -巨海城商圈,4室2厅 | 267.06平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,4人关注 / 5个月以前发布,388,"14,529元/平"
石羊桥路私人花园 俪城 国标地暖 精装修 拎包入住,俪城 -石羊桥商圈,2室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,83,"10,000元/平"
新城区，火车站，地铁口，出行方便，生活便利。,呼市宾馆住宅小区 -车站西街商圈,2室1厅 | 67.35平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,62,"9,206元/平"
精装修 交通方便     地铁口   凯德茂商场,陽光馨苑 -石东路商圈,3室2厅 | 142.3平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 一年前发布,110,"7,731元/平"
铂悦府 新交工小区  配套成熟  中海自己物业,中海铂悦府 -中海商圈,3室2厅 | 168.2平米 | 北 南 | 毛坯 | 低楼层(共32层)  | 板楼,4人关注 / 4个月以前发布,233,"13,853元/平"
中海铂悦府好楼层 纯毛坯 采光视野好 可贷款 户型方正,中海铂悦府 -中海商圈,3室2厅 | 135.74平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,195,"14,366元/平"
中海铂悦府 高楼层纯毛坯 新小区钥匙在手 随时看房,中海铂悦府 -中海商圈,3室2厅 | 135.74平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,200,"14,735元/平"
房本在手，拎包入住，采光充足，配套齐全,盛世华庭 -南湖商圈,3室2厅 | 148.79平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,10人关注 / 一年前发布,99,"6,654元/平"
房本两年内 采光好，适合年轻人过度 结婚婚房,五塔寺综合楼 -五塔寺商圈,3室1厅 | 69.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 11个月以前发布,63,"9,089元/平"
此房刚刚交房，小区环境新，南北通,中海铂悦府 -中海商圈,3室2厅 | 167平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,242,"14,492元/平"
现代装修，出行便利，领包入住。,万达广场一期 -万达商圈,2室2厅 | 90平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,100,"11,112元/平"
东达安苑!十五年片内！有房本，多套户型多套钥匙都有,东达安苑 -新华联商圈,3室2厅 | 155平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,5人关注 / 10个月以前发布,162,"10,452元/平"
花园式小区  随时看房    中间楼层,海藤名苑星苑 -海东路商圈,3室2厅 | 140平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,140,"10,000元/平"
赛罕区 中海铂悦府 刚交工 全新小区 高 端住宅,中海铂悦府 -中海商圈,4室2厅 | 166.65平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 4个月以前发布,275,"16,502元/平"
嘉茂26安利七彩城迎春园地暖房中层精装国标带阳台5年,迎春园 -嘉茂商圈,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,87,"10,000元/平"
金宇紫光 102.61平 185万,金宇紫光 -驰誉商圈,2室1厅 | 102.61平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,145,"14,132元/平"
出小区就是二号线地铁口 业主诚心出售 有房本,昕泰大观 -成吉思汗东商圈,3室2厅 | 124平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,14人关注 / 一年前发布,124.9,"10,073元/平"
七彩城商圈 青城公园 步梯3楼 两居室 南北通透格局,五塔寺综合楼 -五塔寺商圈,2室1厅 | 88.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,66.5,"7,499元/平"
农大fu小区 金岁旁近天桥 邮电小区 小区安静免费停车,邮电小区(兴安南路) -桥华商圈,2室1厅 | 71.87平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,130,"18,089元/平"
香格里二期丨毛坯房随意装修丨复式正常挑高丨有钥匙丨,香格里 -新华联商圈,5室3厅 | 312平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,5人关注 / 一年前发布,436,"13,975元/平"
金地商城 粮食局宿舍 简装 85平85万无遮挡能停车5年外,粮食局宿舍 -呼伦路商圈,2室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,84.9,"9,989元/平"
出售 金川电力小区  丽山湖公园,金川电力小区 -金川开发区,2室2厅 | 72.67平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,39.5,"5,436元/平"
万达华府大四居便宜出，楼下商场，小中高校都有,万达华府A区 -西万达商圈,4室2厅 | 178平米 | 南 北 西 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 一年前发布,148,"8,315元/平"
成熟商圈 出行方便 生活配套齐，交通四通八达,兴光A九小区 -团结商圈,2室1厅 | 88平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,3人关注 / 一年前发布,85,"9,660元/平"
素质小区，南北通透，标准国标户型，视眼宽阔,蓝爵 -西万达商圈,3室2厅 | 126.5平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,12人关注 / 一年前发布,107,"8,459元/平"
环境优美，采光充足，配套实施齐全，小区生活成熟,厂汉板乾沁源西区 -成吉思汗西商圈,2室2厅 | 104平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,81,"7,789元/平"
此房户型方正，格局好，采光充足,金川宽城西区 -金川开发区,3室1厅 | 116.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,64,"5,513元/平"
房房本两年内，运动楼层，视野开阔采光好 交通便利,预制厂小区 -光华街商圈,2室1厅 | 66.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,59,"8,912元/平"
亿利傲东国际花园 精装别墅 房本满五唯一 采光好,亿利傲东国际花园 -新华联商圈,5室3厅 | 267.67平米 | 南 北 | 简装 | 3层  | 板楼 | 联排别墅 ,19人关注 / 一年前发布,420,"15,691元/平"
此房位于光华街地段，楼层好，交通，生活十分便利,双安公寓 -光华街商圈,2室1厅 | 81.18平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,93.5,"11,518元/平"
河畔嘉园  精装修  双阳卧室   房本满二,河畔嘉园 -新华联商圈,3室2厅 | 142.33平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 5个月以前发布,175,"12,296元/平"
下楼到校，小区环境好，停车方便，运动楼层 有电梯,奈伦公寓 -关小商圈,3室1厅 | 124.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,235,"18,811元/平"
中间楼层 南北通透 房本在手 可贷款,富力华庭 -成吉思汗西商圈,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,10人关注 / 9个月以前发布,103,"8,047元/平"
改善，刚需，长期居住，绿化好，视野宽阔,水岸小镇 -市政府商圈,4室2厅 | 206.13平米 | 南 西 | 毛坯 | 高楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,215,"10,431元/平"
关小门口 宽敞国标两居 视野通透 社区停车方便,关帝庙街16号院 -关小商圈,3室2厅 | 113平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,203,"17,965元/平"
电梯洋房 中层 精装 有本 两阳面露台不在房本面积内,左右城的左城 -成吉思汗西商圈,3室2厅 | 110.46平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,29人关注 / 8个月以前发布,158,"14,304元/平"
运动楼层 采光很好 交通便利 出行方便,开源小区(水源街) -光华街商圈,2室1厅 | 77.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,69.5,"8,914元/平"
大四居，一楼带小院带半地下，带车位，储藏间,东岸国际一期 -东岸商圈,4室3厅 | 257.94平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,34人关注 / 一年前发布,320,"12,406元/平"
城市维也纳 使用面积146平 有本可贷款 精装修看房方便,城市维也纳 -八一商圈,3室2厅 | 72.92平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,135人关注 / 一年前发布,85,"11,657元/平"
急售 摩尔城商圈  芳汀花园  国标2楼,芳汀花园 -光华街商圈,2室2厅 | 107.42平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,20人关注 / 一年前发布,114,"10,613元/平"
格局好 五年外 南北通透 交通便利 楼层好,外运住宅小区 -光华街商圈,3室1厅 | 114.17平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,8人关注 / 一年前发布,95,"8,321元/平"
此房视线开阔，站在窗边看心情和舒畅，采光好,金川新天地 -金川开发区,1室1厅 | 69.1平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,1人关注 / 6个月以前发布,49,"7,092元/平"
，中间楼层，精装修大三局，南北通透，满五唯一,电力家园 -锡小商圈,3室2厅 | 154平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,175,"11,364元/平"
小区环境舒适，多条公交线路，交通便利,BoBo悠乐城 -金川开发区,3室1厅 | 100.24平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,6人关注 / 一年前发布,54,"5,388元/平"
先锋路片区，运动楼层，交通便利,乌兰小区 -驰誉商圈,3室1厅 | 77.26平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,76,"9,837元/平"
通透户型 客厅和其中的一间卧室朝阳,冶金住宅小区 -东风路商圈,3室2厅 | 116平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,128,"11,035元/平"
青橙紫苑A区，小区环境好，出行方便,青橙紫苑A区 -成吉思汗西商圈,3室2厅 | 140.09平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,100.8,"7,196元/平"
房本满五，有电梯，上下方便，户型格局较好,粮食局小区 -新华商圈,3室1厅 | 148.11平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,6人关注 / 7个月以前发布,150,"10,128元/平"
工商局家属院  2018年精装修 单价合适 优质房源,工商局家属院 -关小商圈,2室1厅 | 73.89平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,132,"17,865元/平"
素质小区，南北通透，标准国标户型，视眼宽阔,蓝爵 -西万达商圈,3室2厅 | 126.5平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,12人关注 / 一年前发布,107,"8,459元/平"
环境优美，采光充足，配套实施齐全，小区生活成熟,厂汉板乾沁源西区 -成吉思汗西商圈,2室2厅 | 104平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,81,"7,789元/平"
万达华府大四居便宜出，楼下商场，小中高校都有,万达华府A区 -西万达商圈,4室2厅 | 178平米 | 南 北 西 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 一年前发布,148,"8,315元/平"
荷塘月色 毛坯随意装 飞机双阳卧户型 楼层好 视野好,名德荷塘月色 -新华联商圈,3室2厅 | 153.33平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板楼,25人关注 / 一年前发布,170,"11,088元/平"
新城区国标三居室，中高楼层，全天采光无遮挡,盛世名筑康莊南区 -成吉思汗西商圈,3室2厅 | 125.88平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,115,"9,136元/平"
香格里二期丨毛坯房随意装修丨复式正常挑高丨有钥匙丨,香格里 -新华联商圈,5室3厅 | 312平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,5人关注 / 一年前发布,436,"13,975元/平"
农大fu小区 金岁旁近天桥 邮电小区 小区安静免费停车,邮电小区(兴安南路) -桥华商圈,2室1厅 | 71.87平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,130,"18,089元/平"
好户型 小区环境好 物业好 房子新,金地名京 -南湖商圈,3室2厅 | 119.65平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,127,"10,615元/平"
七彩城商圈 青城公园 步梯3楼 两居室 南北通透格局,五塔寺综合楼 -五塔寺商圈,2室1厅 | 88.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,66.5,"7,499元/平"
绿城润园 中间层 全天采光 毛坯房  随时看房,绿城润园 -桥华商圈,3室2厅 | 118.52平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,180,"15,188元/平"
水岸小镇 5室3厅 西,水岸小镇 -市政府商圈,5室3厅 | 364平米 | 西 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,308,"8,462元/平"
生活便利，交通便利，接孩子方便，,烟草宾馆家属楼 -满小商圈,3室2厅 | 101.5平米 | 南 北 | 简装 | 5层  | 板楼,4人关注 / 一年前发布,196,"19,311元/平"
富丽城，毛坯，电梯，上下层高相同，可贷款,富丽城A区 -石东路商圈,3室2厅 | 149平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 5个月以前发布,124.5,"8,356元/平"
好房出售五年外房本国标户型！！,众成小区 -石羊桥商圈,2室2厅 | 96.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,98,"10,184元/平"
电力家园，全天采光，大三居，精装修,电力家园 -锡小商圈,3室2厅 | 156.69平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,19人关注 / 一年前发布,200,"12,765元/平"
此房本满五年， 楼层好采光充足。,东达广场 -锡小商圈,2室1厅 | 82.15平米 | 西北 | 简装 | 中楼层(共22层)  | 塔楼,1人关注 / 3个月以前发布,86,"10,469元/平"
营房道4层，离校近，中山路海亮，附院,祥和南院 -祥和商圈,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,86,"9,149元/平"
南北通透国标户型，运动楼层采光充足，交通方便出行方,馨康花园北区 -金桥商圈,3室1厅 | 116平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,114,"9,828元/平"
此房楼层好，采光充足，视野开阔， 不临街  交通便利,香格里 -新华联商圈,3室2厅 | 138平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,10人关注 / 一年前发布,170,"12,319元/平"
凯德mall南 水上公园地铁口边 大学路片 毛坯 朝西,城市亮点 -大学路商圈,2室1厅 | 111.67平米 | 西 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,95,"8,508元/平"
满五唯一 空置随时可看 嘉茂地铁 石东路,蓯蓉住宅区 -嘉茂商圈,2室1厅 | 99.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,85,"8,518元/平"
八一小区  业主诚心出售  公摊小 实用面积大,八一住宅小区 -八一商圈,2室1厅 | 95.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,87,"9,110元/平"
采光无遮挡 ，楼层好，视野好 ，户型周正,水语青城 -南湖商圈,3室2厅 | 129.5平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 一年前发布,121.9,"9,414元/平"
地铁口 配套齐全 交通便利 户型通透,锦秀嘉苑A区 -金桥商圈,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,110,"8,271元/平"
万达一期 全天采光 黄 金三居 随时看房,万达广场一期 -万达商圈,3室1厅 | 130.49平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,33人关注 / 一年前发布,145,"11,112元/平"
赛罕区北京四中 三居带露台 可贷款 华渊春晓旁 滨河湾,濱河灣 -金桥商圈,4室2厅 | 146平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,110,"7,535元/平"
南二环 金桥商圈 可贷款 看房方便,馨康花园北区 -金桥商圈,3室2厅 | 123.55平米 | 东 西 | 毛坯 | 中楼层(共25层)  | 板楼,9人关注 / 一年前发布,110,"8,904元/平"
此房，楼层好，采光无遮挡 交通四通八达,云中盛景南区 -金桥商圈,5室2厅 | 283.54平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,30人关注 / 一年前发布,309,"10,898元/平"
房子精装修，户型方正，采光好.,馨康花园北区 -金桥商圈,3室2厅 | 126平米 | 北 南 | 精装 | 高楼层(共6层)  | 板楼,43人关注 / 一年前发布,92,"7,302元/平"
兴安南路 工商联住宅小区 南北通透 价格可以 有钥匙,内蒙古工商联住宅楼 -长乐宫商圈,2室1厅 | 85.69平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,81,"9,453元/平"
新城区 电梯房北垣片内 精装 看房方便,农牧厅高层住宅小区 -北垣街商圈,2室2厅 | 93.72平米 | 南 西 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,160,"17,073元/平"
出行方便，格局通透户型，楼层合适,康馨家园 -金桥商圈,3室2厅 | 141.95平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,110,"7,750元/平"
云中盛景南区 5室2厅 南 北,云中盛景南区 -金桥商圈,5室2厅 | 285平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,21人关注 / 一年前发布,309,"10,843元/平"
平安家园 3室2厅 南 北,平安家园 -金桥商圈,3室2厅 | 129.88平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,125,"9,625元/平"
业主急售 电梯四居室 随意装修,华福家苑 -金桥商圈,4室2厅 | 174.1平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,158,"9,076元/平"
平安家园 3室1厅 南 北,平安家园 -金桥商圈,3室1厅 | 140.22平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,4人关注 / 一年前发布,133,"9,486元/平"
飞机户型视野宽阔 全天采光无遮挡随意装,巨华·巨海城8区 -巨海城商圈,3室2厅 | 158平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,15人关注 / 一年前发布,230,"14,557元/平"
出售 玉泉区 电力二区 步梯二楼 陪读 出入方便,电力二区 -嘉茂商圈,2室1厅 | 67.25平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,95,"14,127元/平"
市里头  价格便宜 小区配套齐全 随时看房,坤和尚寓 -八一商圈,3室1厅 | 121.98平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,99,"8,117元/平"
金河湾 国标户型 随意装 视野无遮挡  大三居  河景房,金河湾住宅小区 -金桥商圈,3室1厅 | 153平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板塔结合,4人关注 / 一年前发布,129,"8,432元/平"
赛罕区金桥 金河湾住宅 纯毛坯 国标户型 看房方便,金河湾住宅小区 -金桥商圈,4室2厅 | 162.25平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,142,"8,752元/平"
业主诚心出售，赛罕区，凤凰楼层,华福家苑 -金桥商圈,3室2厅 | 159.34平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,176,"11,046元/平"
简单装修  视野宽阔 采光充足 配套设施齐全,邮电楼 -北垣街商圈,3室2厅 | 128平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,153,"11,954元/平"
全天采光 房本在手 房东诚心出售,天赋林溪南区 -金桥商圈,3室1厅 | 136.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,129,"9,455元/平"
滨河湾 三居室飞机户型 中间楼层,濱河灣 -金桥商圈,3室2厅 | 133.76平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 3个月以前发布,133,"9,944元/平"
一带二带小院，三阳卧室，不临街不把边，拎包入住,巨华·巨海城6区 -巨海城商圈,4室2厅 | 224.84平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,1人关注 / 3个月以前发布,480,"21,349元/平"
馨康花园北区 2室2厅 南 北,馨康花园北区 -金桥商圈,2室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,90,"9,091元/平"
赛罕区 金桥 南万达商圈 地铁口 价格合适 电梯房 毛坯,华渊春晓住宅小区 -金桥商圈,3室2厅 | 212.38平米 | 北 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,195,"9,182元/平"
恒泰盛都 3室2厅 南 北,恒泰盛都 -金桥商圈,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,136,"9,928元/平"
赛罕 金桥 精装步梯运动楼层 可贷款,天赋林溪南区 -金桥商圈,3室2厅 | 178平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,172,"9,663元/平"
出售玉泉区职大小区精装1楼，出入便捷,职大小区 -南茶坊商圈,2室1厅 | 88平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,77,"8,750元/平"
精装修  格局好  优质楼层  采光好  户型正,保全住宅 -金桥商圈,3室2厅 | 118.55平米 | 南 北 | 精装 | 11层  | 暂无数据,33人关注 / 一年前发布,99,"8,351元/平"
赛罕双阳卧大三居，毛坯，采光好，绿化高,水岸华庭 -金桥商圈,3室2厅 | 166平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,2人关注 / 一年前发布,180,"10,844元/平"
南门外，天鹅小区，电梯房，精装房东诚意出售,天鹅小区 -南门外商圈,2室1厅 | 93.8平米 | 南 北 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 2个月以前发布,115,"12,261元/平"
二楼精致房源！唯一一家，抓紧来看，真是秒杀房源,俪城 -石羊桥商圈,2室1厅 | 88.68平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,92,"10,375元/平"
采光好，毛坯房，户型好，交通方便、,锦秀嘉苑A区 -金桥商圈,3室1厅 | 134平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,107,"7,986元/平"
房子是精装修 .拎包入住 落地窗 采光好,内蒙古档案局小区 -金桥商圈,2室1厅 | 94.85平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,28人关注 / 一年前发布,76,"8,013元/平"
赛罕区电梯高楼层南北通透飞机户型双阳卧,建和家园 -金桥商圈,4室2厅 | 159平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,5人关注 / 一年前发布,168.8,"10,617元/平"
千家和众新家园 184.00m² 165 万,千家和众新家园 -金桥商圈,4室2厅 | 183.51平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,20人关注 / 一年前发布,145,"7,902元/平"
巨海城八区 单价低 可贷 随时看房,巨华·巨海城8区 -巨海城商圈,5室2厅 | 304平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,14人关注 / 一年前发布,380,"12,500元/平"
