标题,开发商,房子信息,发布信息,售价/万,单价
宝能太古城 4室2厅 南,宝能太古城 -章江新区,4室2厅 | 135平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 3天以前发布,249,"18,445元/平"
采光好，视野开阔，南康东山新中芯位置，理想居住地。,美的爱康公园天下 -南康区,3室2厅 | 122平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,110,"9,017元/平"
经贸大厦 3室2厅 南,经贸大厦 -南康区,3室2厅 | 98.37平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,22人关注 / 一年前发布,38,"3,863元/平"
盛世豪庭小区，3房2厅毛坯房，采光好，想怎么装都行,盛世豪庭 -于都县,4室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,92.8,"7,194元/平"
此房单价实惠，楼层好，视野宽阔，采光足,城发东顺园 -南康区,4室2厅 | 142.01平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 7个月以前发布,88,"6,197元/平"
章江新区 豪德银座 精装修电梯江景3房 房东诚意出售,豪德银座 -章江新区,3室1厅 | 96平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,30人关注 / 8个月以前发布,101,"10,521元/平"
九里峰山花语林 2室1厅 东南 南,九里峰山花语林 -蓉江新区,2室1厅 | 76.75平米 | 东南 南 | 其他 | 中楼层(共27层)  | 板楼,3人关注 / 3个月以前发布,54,"7,036元/平"
佳兴文峰花园小区  配套设施完善  交通便利,佳兴文峰花园 -南康区,4室2厅 | 132平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 5个月以前发布,91.8,"6,955元/平"
蓉江新区 标准3房 现房即买即装修,悦蓉府 -蓉江新区,3室2厅 | 95.09平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,114,"11,989元/平"
章江新区 文清  精装四房  板楼结构,融耀•江滨御景 -章江新区,4室2厅 | 143.98平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,6人关注 / 8个月以前发布,229,"15,905元/平"
蓉江洋房四房 公摊低 户型方正,阳光城翡丽湾 -蓉江新区,4室1厅 | 120.42平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,139.9,"11,618元/平"
城市广场 5室2厅 南,城市广场 -南康区,5室2厅 | 182.22平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,135.8,"7,453元/平"
老城区有小区 标准三房 总价低,南河路8号 -老城区,3室2厅 | 124.35平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,75,"6,032元/平"
蓉江新区小三房，户型方正，位置很好，适合刚需家庭,悦蓉府 -蓉江新区,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,95,"10,675元/平"
城南梅林大街西段毛坯四房人车分流的品质小区刷脸入户,金科集美公馆 -赣县区,4室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,12人关注 / 一年前发布,101,"8,016元/平"
房东另大置业，江边套房低价出售。,蓝田花园 -南康区,4室2厅 | 153平米 | 北 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,93.9,"6,138元/平"
玺宝城上城 4室2厅 南 契税满二 得房率高 配套齐全,玺宝城上城 -南康区,4室1厅 | 127平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,143,"11,260元/平"
汇金孔雀湾 3室2厅 东南 南,汇金孔雀湾 -赣县区,3室2厅 | 100.78平米 | 东南 南 | 毛坯 | 高楼层(共26层)  | 板楼,6人关注 / 4个月以前发布,65.9,"6,539元/平"
城发东山之星 3室1厅 东南,城发东山之星 -南康区,3室1厅 | 123.6平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 6个月以前发布,116,"9,386元/平"
经开区自带综合体，游泳池大社区，大家抢着看,美的君兰半岛 -黄金开发区,4室2厅 | 129.18平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 4个月以前发布,175,"13,547元/平"
恒大翡翠华庭 3室2厅 东南,恒大翡翠华庭 -章江新区,3室2厅 | 107平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,13人关注 / 10个月以前发布,160,"14,954元/平"
好楼层，边套，采光足，即买即装修。,亚琦时代新城 -南康区,4室2厅 | 139.1平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,59.9,"4,307元/平"
和平大厦 3室2厅 南,和平大厦 -南康区,3室2厅 | 190.99平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 7个月以前发布,110,"5,760元/平"
房东诚心卖  户型好 南北通 采光好 视野开阔,环美嘉园 -老城区,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,72.8,"7,208元/平"
此房满五唯一，房东急售，带电梯，户型方正,隐龙山庄 -黄金开发区,3室2厅 | 135.07平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 30天以前发布,120,"8,885元/平"
人民巷31号 3室2厅 南,人民巷31号 -老城区,3室2厅 | 120.5平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,81,"6,722元/平"
青年路3房拎包入住诚意出售 全新装修,青年路7号 -老城区,3室2厅 | 73平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,51.8,"7,096元/平"
文峰馨城 4室2厅 南,文峰馨城 -南康区,4室2厅 | 112.03平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 30天以前发布,81,"7,231元/平"
宝 这样一套精装从未住过的房子确定不进来看看吗？,中梁南安府 -南康区,3室2厅 | 96平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,99,"10,313元/平"
绿化好，视野宽阔，采光充足，配套设施齐全，环境优美,佳兴文峰花园 -南康区,4室1厅 | 130平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,109.8,"8,447元/平"
万达商圈 新毛坯交付小区 力高水投君逸府 诚意出售,力高水投.君逸府 -黄金开发区,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 26天以前发布,99,"11,124元/平"
佳兴云府高档小区人车分流正四房,佳兴云府 -南康区,4室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 25天以前发布,155,"11,743元/平"
时间公园三期 3室2厅 南,时间公园三期 -水东,3室2厅 | 110.6平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,69,"6,239元/平"
水韵嘉城A区 3室2厅 南,水韵嘉城A区 -黄金开发区,3室2厅 | 107平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,118,"11,029元/平"
中梁蟠龙府 4室2厅 南,中梁蟠龙府 -黄金开发区,4室2厅 | 134.8平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 23天以前发布,160,"11,870元/平"
南门口红旗大道精装小三房，中间楼层好停车,工人宿舍 -老城区,3室2厅 | 66平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,39,"5,910元/平"
视野宽阔 采光好  配套设施齐 全交通便利 看房方便,云府2期 -黄金开发区,5室2厅 | 117平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,179,"15,300元/平"
马扎巷 3室2厅 南,马扎巷 -老城区,3室2厅 | 85平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 18天以前发布,53,"6,236元/平"
杨梅综合体 交通出行方便 住家安静 品质小区,美的君兰半岛 -黄金开发区,3室2厅 | 113.76平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 20天以前发布,135,"11,868元/平"
大润发商圈  房东诚意出售  生活方便,滨江城市广场 -老城区,3室1厅 | 148平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 30天以前发布,95,"6,419元/平"
老城区 电梯房 楼层好 配套全 临江边,国际时代广场三期 -老城区,2室1厅 | 82.53平米 | 南 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,79,"9,573元/平"
中梁蟠龙府 4室2厅 南,中梁蟠龙府 -黄金开发区,4室2厅 | 119.42平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,116,"9,714元/平"
华润 万达双商圈  前后通透双阳台,云府2期 -黄金开发区,4室2厅 | 134平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 25天以前发布,225,"16,792元/平"
全新装修，业主因工作跳动从未入住过,文明大道25/27号 -老城区,2室2厅 | 72.82平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 19天以前发布,53.8,"7,389元/平"
巨亿城 3室1厅 南,巨亿城 -老城区,3室1厅 | 114.68平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 24天以前发布,129.8,"11,319元/平"
恒大悦府3房2厅96平115万,恒大悦府 -黄金开发区,3室2厅 | 96.65平米 | 东南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 29天以前发布,114.7,"11,868元/平"
万达广场配套小区中明阳光城诚意出售停车方便,中民·阳光城 -黄金开发区,3室1厅 | 109平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,95,"8,716元/平"
金桥国际 1室1厅 南,金桥国际 -赣县区,1室1厅 | 50.87平米 | 南 | 其他 | 中楼层(共9层)  | 塔楼,0人关注 / 27天以前发布,40,"7,864元/平"
视野宽阔，采光充足，配套设施齐全，户型方正,世纪花城 -黄金开发区,4室2厅 | 133.89平米 | 西南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 26天以前发布,141.9,"10,599元/平"
视野宽阔，采光充足，配套设施齐全，户型方正,世纪花城 -黄金开发区,4室2厅 | 133.89平米 | 西南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 26天以前发布,141.9,"10,599元/平"
万象城商圈 精装两房 牡丹亭路  看房有钥匙,恒大帝景 -黄金开发区,2室2厅 | 80.37平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 21天以前发布,119,"14,807元/平"
万达广场配套小区中明阳光城诚意出售停车方便,中民·阳光城 -黄金开发区,3室1厅 | 109平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,95,"8,716元/平"
金桥国际 1室1厅 南,金桥国际 -赣县区,1室1厅 | 50.87平米 | 南 | 其他 | 中楼层(共9层)  | 塔楼,0人关注 / 27天以前发布,40,"7,864元/平"
万达广场旁云星大品牌精装修未入住,云星·公园华府 -黄金开发区,3室2厅 | 109.38平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,136,"12,434元/平"
郁孤台旁 中间楼层 三房带露台 诚意出售,建国路小区 -老城区,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,78,"7,429元/平"
佳兴文峰花园  大4房  精装拎包入住,佳兴文峰花园 -南康区,4室2厅 | 135平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 17天以前发布,119.6,"8,860元/平"
经开万达旁 中海左岸馥园 99平小高层洋房诚意出售,中海·左岸馥园 -黄金开发区,3室2厅 | 99.29平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,1人关注 / 30天以前发布,113,"11,381元/平"
赣州公园旁 ，精装三房中间楼层，文清路商圈,新赣南路社区 -老城区,3室1厅 | 72平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 28天以前发布,51,"7,084元/平"
江畔豪庭 6室3厅 南 北,江畔豪庭 -站北区,6室3厅 | 97平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 29天以前发布,105,"10,825元/平"
包车位万达配套宜居小区洋房社区水韵嘉城A区中间楼层,水韵嘉城A区 -黄金开发区,3室2厅 | 135平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,133,"9,852元/平"
日豪花园电梯大四房 瓷砖上墙 四小旁,日豪花园 -南康区,4室2厅 | 132平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 27天以前发布,99,"7,500元/平"
章江新区 江边品质小区  带前后花园  江山里澜湾4房,江山里澜湾 -章江新区,4室2厅 | 174.93平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,336,"19,208元/平"
生态公园旁  精装修2房 中海国际社区锦园,中海国际社区锦园 -章江新区,2室2厅 | 89.44平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,130,"14,535元/平"
房子视野开阔，可看一线江景，南北双阳台,江山里熙岸 -章江新区,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,210,"17,074元/平"
八一四大道801厂北区精装修3房急售,801厂北区 -老城区,3室2厅 | 121.71平米 | 南 | 其他 | 中楼层(共7层)  | 平房,0人关注 / 1个月以前发布,68,"5,588元/平"
嘉苑 5室2厅 南,嘉苑 -黄金开发区,5室2厅 | 229平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,168,"7,337元/平"
时间公园三期 3室2厅 南,时间公园三期 -水东,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,90,"8,334元/平"
时间公园三期 2室2厅 南 北,时间公园三期 -水东,2室2厅 | 81.18平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,70,"8,623元/平"
适宜居住的社区，基础设施配套齐全，有商圈可购物娱乐,中海国际社区东郡A区 -章江新区,2室2厅 | 77.94平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,118,"15,140元/平"
金色家園 3室2厅 南,金色家園 -老城区,3室2厅 | 135.59平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,78,"5,753元/平"
蓉江新区正规洋房大四房，户型通透格局好,阳光城翡丽湾 -蓉江新区,4室2厅 | 121平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,133,"10,992元/平"
时间公园 精装大三房 拎包入住 房东诚心出售,时间公园二期 -水东,3室2厅 | 139.67平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,120,"8,592元/平"
房子户型方正 楼层好 视野开阔 配套成熟,富安商住楼 -老城区,3室2厅 | 151.88平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 31天以前发布,129,"8,494元/平"
东方胜境小区三房带大露台，环境好停车方便江边小区,滨江东方胜境 -老城区,3室2厅 | 100平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,68,"6,800元/平"
西津新华府 3室2厅 西南,西津新华府 -老城区,3室2厅 | 88平米 | 西南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 31天以前发布,120,"13,637元/平"
洋房 前后花园+地下室一层 采光好,中海·滨江壹号 -黄金开发区,4室2厅 | 150.63平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,375,"24,896元/平"
金田小区 4室2厅 南,金田小区 -老城区,4室2厅 | 176平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,118,"6,705元/平"
联发君悦华庭 4室2厅 南 北,联发君悦华庭 -老城区,4室2厅 | 131.63平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,148,"11,244元/平"
阳光家园 2室2厅 南,阳光家园 -老城区,2室2厅 | 86.6平米 | 南 | 其他 | 中楼层(共7层)  | 平房,0人关注 / 28天以前发布,65,"7,506元/平"
中海国际社区华府 2室1厅 南,中海国际社区华府 -章江新区,2室1厅 | 89平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,140,"15,731元/平"
长征广场 怡和嘉园小区房带车库98万装修好,怡和嘉园 -于都县,3室1厅 | 128.4平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,98,"7,633元/平"
中间楼层，采光充足，好晒太阳！！！,碧桂园联发蓉江府 -蓉江新区,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,150,"14,286元/平"
阳光时代 3室1厅 南,阳光时代 -站北区,3室1厅 | 123.17平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,115,"9,337元/平"
水东精装修翡翠谷小三房80万满2年诚意出售,翡翠谷 -水东,3室1厅 | 86平米 | 南 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 31天以前发布,80,"9,303元/平"
九里峰山 8室3厅 南,九里峰山 -蓉江新区,8室3厅 | 203.19平米 | 南 | 其他 | 4层  | 塔楼 | 联排别墅 ,0人关注 / 26天以前发布,325,"15,995元/平"
铁路一区 2室1厅 南,铁路一区 -站北区,2室1厅 | 52.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,27,"5,102元/平"
厚德路正规三房，装修保养很好，配套齐全,厚德路121号 -老城区,3室1厅 | 112.92平米 | 南 | 其他 | 高楼层(共6层)  | 平房,0人关注 / 28天以前发布,58,"5,137元/平"
视野好采光好，配套成熟，出行便捷,盛世江南 -章江新区,3室2厅 | 106.81平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 27天以前发布,172,"16,104元/平"
适宜居住的社区，基础设施配套齐全，有商圈可购物娱乐,巨亿城 -老城区,3室2厅 | 114.7平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,130,"11,334元/平"
小区环境好，生活便利，适宜居住，户型方正,中央城 -章江新区,4室1厅 | 126.72平米 | 东南 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 30天以前发布,173,"13,653元/平"
中祥玖珑湾一期沿江花园小区3+1房格局好契税满五唯一,中祥玖珑湾一期 -章江新区,3室2厅 | 138平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 24天以前发布,220,"15,943元/平"
宝能太古城 3室2厅 南 北,宝能太古城 -章江新区,3室2厅 | 146.99平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,260,"17,689元/平"
万象城旁美地亚精装大三房只要210万带车位,美地亚天骏 -章江新区,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 26天以前发布,195,"16,250元/平"
云星中央星城 2室1厅 西南,云星中央星城 -章江新区,2室1厅 | 84.28平米 | 西南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 29天以前发布,128,"15,188元/平"
嘉福未来城好楼层毛坯142平4房，改善比较合适,嘉福未来城 -章江新区,4室2厅 | 142平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 23天以前发布,238,"16,761元/平"
中都 章江豪园 欧派橱柜 全屋定制品牌 诚意出售,中都章江豪园 -章江新区,3室1厅 | 135.97平米 | 东南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,170,"12,503元/平"
鹭江新城 3室2厅 南,鹭江新城 -站北区,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 31天以前发布,135,"10,151元/平"
步步高旁正规大三房，有电梯有小区好停车,富莱嘉园小区 -老城区,3室1厅 | 167平米 | 南 | 其他 | 高楼层(共12层)  | 平房,0人关注 / 22天以前发布,128,"7,665元/平"
急售急售巨亿城，精装修，楼层好,巨亿城 -老城区,4室1厅 | 115平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 31天以前发布,132,"11,479元/平"
蔚蓝半岛小区 6室2厅 南,蔚蓝半岛小区 -老城区,6室2厅 | 182平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 21天以前发布,198,"10,880元/平"
渡口路东苑楼大三房诚意出售拎包入住,东苑商住楼 -老城区,3室2厅 | 143.97平米 | 南 | 其他 | 中楼层(共7层)  | 平房,0人关注 / 27天以前发布,89,"6,182元/平"
铁路一区 2室1厅 南,铁路一区 -站北区,2室1厅 | 53平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,28,"5,284元/平"
丽景江山  精装3+1户型  随时看房  诚意出售,丽景江山 -黄金开发区,3室2厅 | 105平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,128,"12,191元/平"
东郊路93号 3室2厅 东 西,东郊路93号 -老城区,3室2厅 | 124.7平米 | 东 西 | 其他 | 中楼层(共7层)  | 平房,0人关注 / 24天以前发布,67,"5,373元/平"
人文气息浓厚，古城墙，浮桥就在家门口。,赣州府 -老城区,1室2厅 | 46.1平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 26天以前发布,45,"9,762元/平"
阳光城翡丽湾 3室2厅 南,阳光城翡丽湾 -蓉江新区,3室2厅 | 116.16平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 23天以前发布,127.7,"10,994元/平"
健康路银顶花园大三房诚意出售拎包入住,银顶花園 -老城区,3室2厅 | 151平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 30天以前发布,105,"6,954元/平"
离章江新区一桥之隔金龍花園精装修两房 业主诚意出售,金龍花園 -老城区,2室1厅 | 112.62平米 | 东南 | 精装 | 高楼层(共7层)  | 平房,0人关注 / 1个月以前发布,85,"7,548元/平"
离四小四中近，中间楼层采光好，装修保养很新带大杂间,金诚丽璟 -赣县区,3室2厅 | 139.94平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,88,"6,289元/平"
离四小四中近，中间楼层采光好，装修保养很新带大杂间,金诚丽璟 -赣县区,3室2厅 | 139.94平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,88,"6,289元/平"
房东诚心出售，步步高商圈  有小区 好停车,东阳山路 -老城区,3室2厅 | 92.5平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,81.8,"8,844元/平"
离章江新区一桥之隔金龍花園精装修两房 业主诚意出售,金龍花園 -老城区,2室1厅 | 112.62平米 | 东南 | 精装 | 高楼层(共7层)  | 平房,0人关注 / 1个月以前发布,85,"7,548元/平"
阳光时代 3室2厅 南,阳光时代 -站北区,3室2厅 | 127.87平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,108,"8,447元/平"
金凤梅园  大3房  诚意出售,云星·公园华府 -黄金开发区,3室1厅 | 113.68平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 25天以前发布,142,"12,492元/平"
江山里榕府洋房，成熟配套，江边宜居住宅,江山里榕府 -章江新区,5室2厅 | 220平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 21天以前发布,418,"19,000元/平"
华谊城，楼层好，视野开阔。。。。,华谊城广场 -老城区,2室2厅 | 75平米 | 南 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,80,"10,667元/平"
中廷广场 3室2厅 南,中廷广场 -章江新区,3室2厅 | 91平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 22天以前发布,110,"12,088元/平"
雍晟状元府邸 3室2厅 南,雍晟状元府邸 -章江新区,3室2厅 | 132平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 25天以前发布,213.8,"16,197元/平"
呈祥·中央首府 3室2厅 南,呈祥·中央首府 -章江新区,3室2厅 | 89.68平米 | 南 | 其他 | 高楼层(共23层)  | 板楼,1人关注 / 28天以前发布,139,"15,500元/平"
三和悦城 3室2厅 南,三和悦城 -章江新区,3室2厅 | 118.59平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,168,"14,167元/平"
成熟小区，位置路段好，入住率高，设施齐全,恒大悦府 -黄金开发区,4室2厅 | 141.94平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 20天以前发布,158,"11,132元/平"
本房很好看江江风吹的也是很舒服楼层不高比较接地气,帝怡江景 -黄金开发区,5室3厅 | 305平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 30天以前发布,290,"9,509元/平"
张家围金色家园大三房精装修拎包入住,金色家園 -老城区,3室2厅 | 138.63平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 19天以前发布,89,"6,420元/平"
万达广场 滨江公园旁 上上城 精装四房 诚意出售,汉泰·上上城 -黄金开发区,4室2厅 | 115.81平米 | 南 北 | 其他 | 高楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,174.8,"15,094元/平"
万象城商圈，楼层好，视野开阔，采光充足,恒大帝景 -黄金开发区,4室2厅 | 140.61平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 30天以前发布,235,"16,713元/平"
成熟社区 配套设施完善 绿化高 物业管理规范,中海国际社区华府 -章江新区,2室2厅 | 88.94平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 18天以前发布,118,"13,268元/平"
老城区正规2房，总价低，楼层好！,花生坪2号 -老城区,2室2厅 | 73.34平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 25天以前发布,39,"5,318元/平"
黄金花园西区 2室1厅 南,黄金花园西区 -黄金开发区,2室1厅 | 80平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,78,"9,750元/平"
云星·公园华府 3室1厅 南,云星·公园华府 -黄金开发区,3室1厅 | 114平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 29天以前发布,159,"13,948元/平"
城央一品 4室2厅 南,城央一品 -章江新区,4室2厅 | 108.31平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 31天以前发布,148,"13,665元/平"
中海品质好服务小区，精装三房，诚意出售,中海国际社区东郡B区 -章江新区,3室2厅 | 119.68平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 23天以前发布,179.8,"15,024元/平"
中央城精装三房视野好，装修花了四十多个,中央城 -章江新区,3室1厅 | 110.27平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 24天以前发布,170,"15,417元/平"
章江新区大两房，房东诚意出售，拎包入住,華城名苑 -章江新区,2室2厅 | 107平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 25天以前发布,120,"11,215元/平"
恒大帝景 精装三房 绿化好 配套齐全,恒大帝景珑珺苑 -黄金开发区,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共19层)  | 板楼,0人关注 / 18天以前发布,180,"14,063元/平"
九里峰山 3室2厅 南,九里峰山 -蓉江新区,3室2厅 | 97平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,95,"9,794元/平"
张家围  单位房 大三房 房东保护的很好,张家围29-90号 -老城区,3室2厅 | 131.73平米 | 南 | 其他 | 中楼层(共6层)  | 平房,0人关注 / 26天以前发布,99,"7,516元/平"
宝能太古城 精装4房 全新装修 未入住,宝能太古城 -章江新区,4室2厅 | 139平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 28天以前发布,288,"20,720元/平"
