标题,开发商,房子信息,发布信息,售价/万,单价
13年新社区，小区管理严格，户型方正，出行便利,建华温泉公寓二区 -五一广场,3室1厅 | 105.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,375,"35,542元/平"
南门兜 三坊七巷，则徐 杨桥 框架三房，,道山新村 -乌山路,3室2厅 | 96.88平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,320,"33,031元/平"
13年，板式电梯高层，中山十九陪读，空中花园+游泳池,恒力城 -省政府,4室2厅 | 163.04平米 | 南 北 | 精装 | 低楼层(共38层)  | 板楼,1人关注 / 8个月以前发布,1080,"66,242元/平"
高新区  万达旁龙旺康桥丹堤  高层端头  视野好  满二,康桥丹堤 -福州高新区,5室1厅 | 140.06平米 | 东南 | 简装 | 高楼层(共40层)  | 板楼,0人关注 / 11个月以前发布,265,"18,921元/平"
居家装修4房，小高层，南北通透，端头位置，全明结构,大儒世家卧琥 -大儒世家,4室2厅 | 155.15平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,415,"26,749元/平"
小区花园旁 电梯高层四房带衣帽间 居家装修 总价便宜,元一温泉花园 -茶亭,4室2厅 | 147.44平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,364,"24,689元/平"
诚售世纪东方 顶楼复式五房 含大露台,世纪东方 -福新路,5室2厅 | 181.96平米 | 东南 北 | 简装 | 高楼层(共10层)  | 板塔结合,6人关注 / 一年前发布,419,"23,028元/平"
紫阳地铁口 紫阳国际 福新中路 东显花园全明大四房,东显花园 -福新路,3室2厅 | 144.25平米 | 南 西 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,318,"22,046元/平"
临江新天地福江苑二期 4室2厅 东 南 北,临江新天地福江苑二期 -三叉街,4室2厅 | 129.81平米 | 东 南 北 | 毛坯 | 中楼层(共14层)  | 塔楼,1人关注 / 3个月以前发布,280,"21,570元/平"
台江金融街板块 复式楼 带露台 低总价精装修,水岸华庭 -光明港,6室3厅 | 168.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,288,"17,078元/平"
福马路，二号线，精装4.5房 看花园 不沿街,和源居 -福新路,4室2厅 | 145.24平米 | 西南 | 精装 | 低楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,439,"30,226元/平"
社区好，户型好，南有地铁接驳线，独栋别院,东方威尼斯一期 -火车南站,6室3厅 | 285.76平米 | 南 | 毛坯 | 2层  | 板塔结合 | 独栋别墅 ,1人关注 / 一年前发布,1060,"37,095元/平"
五凤兰庭六期，不沿街，4房半结构，带大露台,五凤兰庭六期 -铜盘路（软件园）,5室2厅 | 134.13平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,299,"22,292元/平"
中庚国际华府   大户型228平  俯瞰整个金山公园！！！,中庚国际华府 -金山公园,5室2厅 | 228.03平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,13人关注 / 一年前发布,719,"31,531元/平"
群升端头大面积四房户型，楼层中楼层急售,群升江山城 -福州高新区,4室2厅 | 132.32平米 | 北 南 | 简装 | 中楼层(共39层)  | 板楼,9人关注 / 一年前发布,260,"19,650元/平"
看湖景大四房，装修保持良好，可拎包入住。,福国花园 -东二环,4室2厅 | 150.35平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,274,"18,225元/平"
上下杭景区，18年次新盘，两南两北，双阳台，80万精装,融信双杭城龙岭 -上下杭城,4室2厅 | 130.57平米 | 南 北 | 精装 | 低楼层(共15层)  | 塔楼,2人关注 / 3个月以前发布,565,"43,272元/平"
永乐花园复式楼 中间楼层 产权185平 使用面积大,永乐花园 -长乐城区,4室2厅 | 185.55平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,215,"11,588元/平"
山美，水清，林绿，空气新，沿水系别墅,唐乾明月 -永泰县,7室3厅 | 341.7平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,23人关注 / 一年前发布,258,"7,551元/平"
鼓楼区 五四路　融侨一区 双平层复式 融侨物业,融侨花园一区 -省体湖前,7室4厅 | 247.7平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,14人关注 / 一年前发布,431,"17,401元/平"
沿江品质社区 户型方正 带大入户花园 端头全明户型,融侨锦江小区C区 -西江滨,4室2厅 | 180.15平米 | 西南 西北 | 精装 | 低楼层(共10层)  | 板楼,3人关注 / 一年前发布,698,"38,746元/平"
五四路，华福花园，带产权车位一个，电梯高层,华福花园 -省政府,3室2厅 | 148平米 | 东南 | 精装 | 中楼层(共16层)  | 板楼,6人关注 / 一年前发布,700,"47,298元/平"
中天金海岸，联排别墅，南入户双车位，五层使用,中天金海岸金爵苑 -金山公园,6室3厅 | 200平米 | 南 北 | 简装 | 低楼层(共1层)  | 平房,9人关注 / 一年前发布,590,"29,500元/平"
电梯牡丹顶楼复式，装修120万，4层使用,中庚•香江红海园一期南区 -金山公园,5室2厅 | 169.65平米 | 东南 南 北 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 3个月以前发布,555,"32,715元/平"
精装修叠下别墅，使用面积大，带个大草地。,金辉水印长天 -金山公园,4室2厅 | 209平米 | 南 北 | 精装 | 低楼层(共2层)  | 板塔结合,0人关注 / 2个月以前发布,575,"27,512元/平"
看湖景大四房，装修保持良好，可拎包入住。,福国花园 -东二环,4室2厅 | 150.35平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,274,"18,225元/平"
吴钢花园大面积复式楼，洞江门口，方便小孩上学,吴钢花园 航港花园 -长乐城区,5室2厅 | 242.66平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,298,"12,281元/平"
名城国际沿江前排4房 房子保持新 满二产权车位,名城国际 -江滨东大道(快安）,4室2厅 | 162平米 | 东南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,395,"24,383元/平"
中庚国际华府   大户型228平  俯瞰整个金山公园！！！,中庚国际华府 -金山公园,5室2厅 | 228.03平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,13人关注 / 一年前发布,719,"31,531元/平"
群升端头大面积四房户型，楼层中楼层急售,群升江山城 -福州高新区,4室2厅 | 132.32平米 | 北 南 | 简装 | 中楼层(共39层)  | 板楼,9人关注 / 一年前发布,260,"19,650元/平"
世茂三期 毛坯中层有证满二 复式全明南北通透仅203万,世茂上游墅三期 -甘蔗,3室2厅 | 149.88平米 | 南 北 | 毛坯 | 低楼层(共40层)  | 板楼,0人关注 / 一年前发布,200,"13,345元/平"
山美，水清，林绿，空气新，沿水系别墅,唐乾明月 -永泰县,7室3厅 | 341.7平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,23人关注 / 一年前发布,258,"7,551元/平"
地铁口，一手房东商品房，楼层好，生活交通便利,东华苑 -福新路,4室2厅 | 147.31平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,268,"18,193元/平"
五凤兰庭六期，不沿街，4房半结构，带大露台,五凤兰庭六期 -铜盘路（软件园）,5室2厅 | 134.13平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,299,"22,292元/平"
鼓楼区 五四路　融侨一区 双平层复式 融侨物业,融侨花园一区 -省体湖前,7室4厅 | 247.7平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,14人关注 / 一年前发布,431,"17,401元/平"
西湖左海省政府天元梅峰铜盘五凤软件园独栋别墅出售,名仕山庄 -铜盘路（软件园）,5室3厅 | 297.41平米 | 东 南 西 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 6个月以前发布,1200,"40,349元/平"
中天金海岸，联排别墅，南入户双车位，五层使用,中天金海岸金爵苑 -金山公园,6室3厅 | 200平米 | 南 北 | 简装 | 低楼层(共1层)  | 平房,9人关注 / 一年前发布,590,"29,500元/平"
电梯牡丹顶楼复式，装修120万，4层使用,中庚•香江红海园一期南区 -金山公园,5室2厅 | 169.65平米 | 东南 南 北 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 3个月以前发布,555,"32,715元/平"
精装修叠下别墅，使用面积大，带个大草地。,金辉水印长天 -金山公园,4室2厅 | 209平米 | 南 北 | 精装 | 低楼层(共2层)  | 板塔结合,0人关注 / 2个月以前发布,575,"27,512元/平"
沿江品质社区 户型方正 带大入户花园 端头全明户型,融侨锦江小区C区 -西江滨,4室2厅 | 180.15平米 | 西南 西北 | 精装 | 低楼层(共10层)  | 板楼,3人关注 / 一年前发布,698,"38,746元/平"
五四路，华福花园，带产权车位一个，电梯高层,华福花园 -省政府,3室2厅 | 148平米 | 东南 | 精装 | 中楼层(共16层)  | 板楼,6人关注 / 一年前发布,700,"47,298元/平"
电梯中楼层，四房板状，端头户型，业主诚意出售,罗马生态园 -西江滨,4室2厅 | 149.94平米 | 东南 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,376,"25,077元/平"
不香么？俯瞰整个花园，可以看房啦！皇庭美域155平,皇庭美域 -长乐城区,4室2厅 | 152平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,282,"18,553元/平"
金牛山 三房半融汇江山 采光好 交通便利 业主诚意出售,融汇江山颐景阁 -西江滨,4室2厅 | 141.04平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,460,"32,615元/平"
东二环商圈 花园式社区纯商品房 端头改善四房,中联东郡花园 -东二环,4室2厅 | 123.57平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,9人关注 / 一年前发布,338,"27,353元/平"
金牛山 地铁口 世纪佳源双平层复式 全明结构 南北通透,世纪佳源 -西江滨,5室2厅 | 202.47平米 | 东南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,458,"22,621元/平"
鼓楼花园社区，精装复式楼，带小院，厅挑高,大儒世家卧琥 -大儒世家,5室2厅 | 228.42平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,4人关注 / 6个月以前发布,580,"25,392元/平"
北尚电梯大四房，高层端头户型，精装修,北尚C区 -五四北,4室2厅 | 139.68平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 4个月以前发布,318,"22,767元/平"
新出、I33城市广场中庚香山春天精装三房,中庚香山春天 -五四北,3室2厅 | 92.98平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,4人关注 / 一年前发布,215,"23,124元/平"
"新店五四北，北尚新宿花园C区，电梯标准4房,精装修",北尚C区 -五四北,4室2厅 | 130.63平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,2人关注 / 7个月以前发布,268,"20,516元/平"
小区03年花园品质小区，端头户型三面采光好,三华花园 -福新路,4室2厅 | 143平米 | 东 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,290,"20,280元/平"
左海梅峰复式，满五年，居家装修,金海园 -大儒世家,4室2厅 | 149.55平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,330,"22,067元/平"
房子楼层好，带车位，采光充足，交通方便,皇庭首占1号 -首营新区,4室2厅 | 139平米 | 东南 | 简装 | 高楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,310,"22,303元/平"
社区中间位置，安静舒适，景观好，楼层好，装修好,三盛国际公园上东区 -五四北,4室2厅 | 163.61平米 | 南 西 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,415,"25,366元/平"
万达旁  业主自住装修  3层复式使用250    换房急售,武夷绿洲一期 -光明港,7室2厅 | 177.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,310,"17,482元/平"
房子楼层好，带车位，采光充足，交通方便,皇庭首占1号 -首营新区,4室2厅 | 139平米 | 东南 | 简装 | 高楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,310,"22,303元/平"
小区03年花园品质小区，端头户型三面采光好,三华花园 -福新路,4室2厅 | 143平米 | 东 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,290,"20,280元/平"
万达旁  业主自住装修  3层复式使用250    换房急售,武夷绿洲一期 -光明港,7室2厅 | 177.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,310,"17,482元/平"
单价3.4买融侨锦江大平层 阔绰5房,融侨锦江小区A区 -西江滨,4室2厅 | 182平米 | 东南 | 简装 | 低楼层(共9层)  | 板楼,6人关注 / 9个月以前发布,625,"34,341元/平"
福新西路 框架大三房东南向 视野好交通便利配套齐全,福兴楼 -五一广场,3室2厅 | 96.7平米 | 东南 | 简装 | 中楼层(共8层)  | 平房,3人关注 / 10个月以前发布,245,"25,337元/平"
融侨锦江C区，板状通透4房，错层结构，实木精装修,融侨锦江小区C区 -西江滨,4室2厅 | 149.96平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,3人关注 / 11个月以前发布,620,"41,345元/平"
翰林天下4房139平简装房东诚意出售,福清翰林天下 -福清市,4室2厅 | 138.6平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,3人关注 / 5个月以前发布,156,"11,256元/平"
此房满五唯一，格局好，楼层好，视野开阔，交通便利,宏航新城 -长乐城区,4室2厅 | 164.02平米 | 西 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,158,"9,633元/平"
鼓楼，苏氏园林社区，大三房，端头位置采光好，大阳台,鼓楼庭院 -大儒世家,3室2厅 | 114.49平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,280,"24,457元/平"
鼓实，屏东，三房，东南朝向，看房提前预约,省饲料公司北环中路单位宿舍 -省体湖前,3室2厅 | 88.87平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,368,"41,409元/平"
祥乐花园，格局好，楼层好，交通便利！ 满两年,祥乐花园 -长乐城区,4室2厅 | 142.79平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,138,"9,665元/平"
北尚新宿花园  户型方正 视野采光无遮挡,北尚A区 -五四北,4室2厅 | 135.97平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 一年前发布,297,"21,844元/平"
地理位置好，五四北泰禾旁，地铁口,亿力秀山 -五四北,4室2厅 | 173.88平米 | 南 北 | 简装 | 低楼层(共10层)  | 暂无数据,8人关注 / 一年前发布,365,"20,992元/平"
鼓楼西江滨 融侨锦江D区 标准4房 居家装修,融侨锦江小区D区 -西江滨,4室2厅 | 156.44平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,635,"40,591元/平"
"15年电梯房 ，楼层高,户型方正，精装修",融侨锦江悦府花园南区B区 -西江滨,3室2厅 | 92.72平米 | 东南 | 精装 | 中楼层(共35层)  | 暂无数据,0人关注 / 2个月以前发布,341,"36,778元/平"
鼓楼华润万象城旁02年商品房 电梯4房 南北朝向 停车便,实达文华公寓 -西江滨,4室2厅 | 147.53平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,399.8,"27,100元/平"
五四北三盛国际公园，顶楼复式，使用面积大，视野开阔,三盛国际公园上东区 -五四北,6室2厅 | 232平米 | 西南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,13人关注 / 一年前发布,550,"23,707元/平"
六一中路 花园社区 带原脉温泉，大四房出售，东南全明,东光花园 -五一广场,4室2厅 | 167平米 | 东南 | 精装 | 高楼层(共9层)  | 板楼,9人关注 / 一年前发布,483,"28,923元/平"
社区中间位置，安静舒适，景观好，楼层好，装修好,三盛国际公园上东区 -五四北,4室2厅 | 163.61平米 | 南 西 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,415,"25,366元/平"
左海西湖旁。电梯4房，南北通透商品房小区,山海观花园新城 -西江滨,3室2厅 | 116.5平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,269,"23,091元/平"
西湖边湖滨，带露台，框架南北通透，采光佳，居家精装,武夷春晓 -西江滨,5室2厅 | 174.42平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,8人关注 / 11个月以前发布,455,"26,087元/平"
少有资源、使用300平方、靠地铁、双平层、带露台,三木城D2区 -五四北,6室3厅 | 131.97平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 5个月以前发布,550,"41,677元/平"
"北江滨  富力旁 花园式社区, 电梯 精装4房",江岸名都 -北江滨CBD,4室2厅 | 166.59平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,3人关注 / 3个月以前发布,486,"29,174元/平"
位置好前排不靠路，精装大三房，三开间朝南,融侨锦江小区A区 -西江滨,3室2厅 | 140.68平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,560,"39,807元/平"
左海帝景，电梯四房，高层，装修好,左海帝景 -西江滨,4室2厅 | 134.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,485,"35,964元/平"
西洪新村 框架4房 端头户型 外墙贴砖,西洪新村 -西江滨,4室2厅 | 172平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,8人关注 / 一年前发布,416,"24,187元/平"
好房子一辈子 电梯高层 花园社区 空气好,山水麗城 -西江滨,3室2厅 | 131.87平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 6个月以前发布,325,"24,646元/平"
鼓楼桥头堡位置 罗汉山地铁口 中天翡翠城电梯大三房,中天翡翠城 -五四北,3室2厅 | 127.59平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,288,"22,573元/平"
晋安五四北 三盛 精装修 顶楼复式堪比空中别墅,三盛国际公园拉菲公馆 -五四北,5室3厅 | 358平米 | 西南 | 精装 | 高楼层(共17层)  | 板楼,9人关注 / 一年前发布,888,"24,805元/平"
三盛长岛区大户型急卖，西端头，视野开阔,三盛国际公园.长岛区 -五四北,5室3厅 | 210平米 | 南 西 北 | 毛坯 | 中楼层(共29层)  | 板楼,8人关注 / 一年前发布,465,"22,143元/平"
大儒叠下别墅！带车库带地下室带大草地！位置好！,大儒世家卧琥 -大儒世家,4室3厅 | 200平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,29人关注 / 一年前发布,497,"24,850元/平"
晋安五四北 三盛 精装修 顶楼复式堪比空中别墅,三盛国际公园拉菲公馆 -五四北,5室3厅 | 358平米 | 西南 | 精装 | 高楼层(共17层)  | 板楼,9人关注 / 一年前发布,888,"24,805元/平"
三盛长岛区大户型急卖，西端头，视野开阔,三盛国际公园.长岛区 -五四北,5室3厅 | 210平米 | 南 西 北 | 毛坯 | 中楼层(共29层)  | 板楼,8人关注 / 一年前发布,465,"22,143元/平"
西湖左海旁，电梯高层，采光好，一梯两户，视野好,梅海园 -西江滨,4室2厅 | 158.29平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,3人关注 / 5个月以前发布,506,"31,967元/平"
中天金海岸金爵苑    联排别墅  精装修  拎包入住,中天金海岸金爵苑 -金山公园,6室2厅 | 209.64平米 | 南 北 | 精装 | 1层  | 平房,11人关注 / 一年前发布,670,"31,960元/平"
泊悦府 看江4房 精装修拎包入住 自带空中花园 满二,泊悦府 -江滨东大道(快安）,4室2厅 | 151.78平米 | 西南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,315,"20,754元/平"
地理位置好，五四北泰禾旁，地铁口,亿力秀山 -五四北,4室2厅 | 173.88平米 | 南 北 | 简装 | 低楼层(共10层)  | 暂无数据,8人关注 / 一年前发布,365,"20,992元/平"
鼓楼西江滨 融侨锦江D区 标准4房 居家装修,融侨锦江小区D区 -西江滨,4室2厅 | 156.44平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,635,"40,591元/平"
鼓楼华润万象城旁02年商品房 电梯4房 南北朝向 停车便,实达文华公寓 -西江滨,4室2厅 | 147.53平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,399.8,"27,100元/平"
"15年电梯房 ，楼层高,户型方正，精装修",融侨锦江悦府花园南区B区 -西江滨,3室2厅 | 92.72平米 | 东南 | 精装 | 中楼层(共35层)  | 暂无数据,0人关注 / 2个月以前发布,341,"36,778元/平"
湖滨小复式楼，有2个露台，精装修拎包入住，满五唯一,金达二区 -左海西湖,6室3厅 | 159.66平米 | 西南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,498,"31,192元/平"
产权满五，顶层复式电梯房，使用面积大，采光通风好,大儒世家朗园 -大儒世家,5室2厅 | 243.08平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,13人关注 / 一年前发布,650,"26,741元/平"
大儒世家朗园 一梯两户，安静位置 户型方正，精装四房,大儒世家朗园 -大儒世家,4室2厅 | 144.5平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,1人关注 / 5个月以前发布,415,"28,720元/平"
顶楼复式，厅带阳台，挑高五米采光好,康城二期 -五四北,5室2厅 | 170.55平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,318,"18,646元/平"
金山大桥头 复式 单价少 武夷明珠,骏夷花园 -金山大道,6室2厅 | 187.76平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,350,"18,641元/平"
泰禾旁，221平精装复式，客厅挑高6米，带车位,亿力秀山 -五四北,5室2厅 | 221.27平米 | 南 北 | 精装 | 低楼层(共10层)  | 暂无数据,18人关注 / 一年前发布,500,"22,597元/平"
4鳌峰苑，顶层复式楼，高使用高空中花园,鳌峰苑 -光明港,5室2厅 | 178平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,268,"15,057元/平"
福新路阳光城 花园社区门前草地 居家三房双卫端头户型,阳光城 -五一广场,3室2厅 | 128.52平米 | 东南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,460,"35,793元/平"
乌龙江旁 红海园 大四房 大露台 精装修 总价低,中庚•香江红海园一期南区 -金山公园,3室2厅 | 130.8平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,5人关注 / 4个月以前发布,325,"24,848元/平"
东南北朝向，无遮挡，采光好，全景茶亭公园,世茂茶亭臻园 -茶亭,5室1厅 | 249.93平米 | 东 南 北 | 精装 | 低楼层(共52层)  | 板楼,1人关注 / 5个月以前发布,930,"37,211元/平"
融侨锦江D区高层坐北朝南一线江景房,融侨锦江小区D区 -西江滨,4室2厅 | 163.57平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,760,"46,464元/平"
西海岸B区，头排看江，满二，居家4房，9.5成新，赞,阳光城西海岸B区 -甘蔗,4室2厅 | 127.23平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,215,"16,899元/平"
速降好房五里亭08年和源居东南有90平露台做好的,和源居 -福新路,3室2厅 | 127.14平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,338,"26,585元/平"
全景金山公园，高层俯视半个金山，阳台面宽10米,中庚国际华府 -金山公园,4室2厅 | 154平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,18人关注 / 8个月以前发布,555,"36,039元/平"
天鹅堡一线江景房，满二简装，品质社区,天鹅堡 -江滨东大道(快安）,5室2厅 | 212.36平米 | 南 | 简装 | 高楼层(共35层)  | 板楼,1人关注 / 10个月以前发布,430,"20,249元/平"
鼓楼区左海边左海公寓，加装电梯无公摊，大平层，简装,左海公寓西区 -铜盘路（软件园）,4室2厅 | 151.74平米 | 西南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 6个月以前发布,345,"22,737元/平"
鼓楼区 左海福道 梅海园旁 永福楼 02年外砖  大四房,永福楼 -西江滨,4室2厅 | 164.03平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,7人关注 / 10个月以前发布,320,"19,509元/平"
杨桥路 湖滨小 财会宿舍 框架三房 中层 亮厅,福建财会管理干部学院高峰南巷教工宿舍 -三坊七巷,3室2厅 | 110平米 | 西南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,327,"29,728元/平"
万科金域榕郡，精装四房，可看湖，社区成熟，近大门,万科金域榕郡 -五四北,4室2厅 | 167.89平米 | 北 南 | 精装 | 39层  | 板楼,0人关注 / 3个月以前发布,518,"30,854元/平"
沿闽江 门口西河公园 外墙贴砖 东南朝向,洪山桥社区 -西江滨,3室2厅 | 117.72平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,226,"19,199元/平"
先生的山 双拼别墅 东端头 景观房 上下五层 带大花园,先生的山B区 -贵安,5室3厅 | 183平米 | 东南 | 毛坯 | 低楼层(共4层)  | 板楼,1人关注 / 一年前发布,300,"16,394元/平"
亿力秀山 大平层 中高层 一家人住,亿力秀山 -五四北,4室2厅 | 158.14平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,395,"24,978元/平"
枫丹白鹭一期！地铁口！复式楼！交通便利！,枫丹白鹭一至二期 -五四北,4室3厅 | 174.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,383,"21,972元/平"
鼓楼区左海边左海公寓，加装电梯无公摊，大平层，简装,左海公寓西区 -铜盘路（软件园）,4室2厅 | 151.74平米 | 西南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 6个月以前发布,345,"22,737元/平"
天鹅堡一线江景房，满二简装，品质社区,天鹅堡 -江滨东大道(快安）,5室2厅 | 212.36平米 | 南 | 简装 | 高楼层(共35层)  | 板楼,1人关注 / 10个月以前发布,430,"20,249元/平"
品质社区，精装修80万复式，使用面积140平,闽江世纪城A区 -南江滨,4室2厅 | 117.3平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 4个月以前发布,366,"31,203元/平"
大欧式精装5房 电梯中层 300万,东方名城康郡 -江滨东大道(快安）,5室1厅 | 177.87平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,290,"16,305元/平"
文博旁，电梯三房，户型通透，阳光好,大儒世家观岚 -大儒世家,3室2厅 | 128.39平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,329,"25,626元/平"
软件园，精装修四房，南北通透楼层好,福州文山里小区 -铜盘路（软件园）,4室2厅 | 118.08平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,180,"15,244元/平"
地铁口，大复式楼，带2个露台！实木精装修，5房,花好月圆 -金山大道,5室2厅 | 119.77平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,12人关注 / 9个月以前发布,245,"20,456元/平"
融信宽域；一梯两户；南北朝向；业主装修保持新；舒适,融信宽域 -金山大道,4室2厅 | 127.75平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 1个月以前发布,320,"25,049元/平"
仓山金辉天鹅湾复式洋房！业主诚意出售！！,天鹅湾 -浦上大道（金山万达）,5室2厅 | 127.99平米 | 南 北 | 精装 | 低楼层(共4层)  | 板塔结合,29人关注 / 一年前发布,448,"35,003元/平"
